Title,Artist,Harmony,Intervals,Interval_Variance
"""Bartier Cardi""",Cardi B featuring 21 Savage,"[1, 1, 1, 1, 1, 5, 6, 1, 1, 6, 1, 1, 5, 1, 1, 6, 1, 1, 1, 1, 6, 1, 1, 1, 6, 1, 1, 1, 6, 1, 1, 6, 1, 1, 6, 1, 6, 1, 6, 1, 6, 1, 5, 6, 1, 6, 1, 5, 1, 1, 6, 1, 1, 1, 6, 1, 1, 1, 6, 1, 1, 6, 1, 1, 6, 1, 1, 6, 1, 6, 1, 6, 1, 6, 1, 1, 6, 1, 1, 5, 1, 6, 6, 1, 1, 1, 6, 1, 1, 1, 6, 1, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 5, 1, 6, 6, 1, 1, 1, 6, 1, 1, 1, 6, 1]","[0, 0, 0, 0, -5, 1, 4, 0, -4, 4, 0, -5, 5, 0, -4, 4, 0, 0, 0, -4, 4, 0, 0, -4, 4, 0, 0, -4, 4, 0, -4, 4, 0, -4, 4, -4, 4, -4, 4, -4, 4, -5, 1, 4, -4, 4, -5, 5, 0, -4, 4, 0, 0, -4, 4, 0, 0, -4, 4, 0, -4, 4, 0, -4, 4, 0, -4, 4, -4, 4, -4, 4, -4, 4, 0, -4, 4, 0, -5, 5, -4, 0, 4, 0, 0, -4, 4, 0, 0, -4, 4, 0, -4, 4, -4, 4, -4, 4, -4, 4, -4, 4, -4, 4, -4, 0, 4, -4, 4, 0, -4, 4, 0, -5, 5, -4, 0, 4, 0, 0, -4, 4, 0, 0, -4, 4]",11.396825396825397
"""God Is a Woman""",Ariana Grande,"[1, 7, 1, 7, 6, 7, 4, 5, 1, 7, 1, 7, 6, 7, 4, 5, 1, 7, 1, 7, 6, 7, 4, 5, 1, 1, 6, 7, 1, 1, 6, 7, 1, 1, 6, 7, 1, 7, 1, 7, 6, 7, 4, 5, 1, 7, 1, 7, 6, 7, 4, 5, 1, 1, 6, 7, 1, 1, 6, 7, 1, 1, 6, 7, 1, 7, 1, 7, 6, 7, 4, 5, 1, 7, 1, 7, 6, 7, 4, 5, 1, 7, 1, 7, 6, 7, 4, 5, 7, 6, 7, 6, 0, 6, 3, 4, 7, 7, 6, 0, 0, 6, 3, 4, 7, 6, 7, 6, 0, 6, 3, 4, 7, 6, 7, 6, 0, 6, 3, 4, 7, 7, 0, 6, 7, 7, 0, 6, 7, 7, 0, 6, 7, 6, 7, 6, 0, 6, 3, 4, 7, 6, 7, 6, 0, 6, 3, 4, 7, 7, 0, 6, 7, 7, 0, 6, 7, 7, 0, 6, 7, 6, 7, 6, 0, 6, 3, 4, 7, 6, 7, 6, 0, 6, 3, 4, 7, 6, 7, 6, 0, 6, 3, 4]","[-2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, 0, -4, 2, 2, 0, -4, 2, 2, 0, -4, 2, 2, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, 0, -4, 2, 2, 0, -4, 2, 2, 0, -4, 2, 2, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 3, -2, 2, -2, -2, 2, -5, 2, 5, 0, -2, -2, 0, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, 0, -4, 2, 2, 0, -4, 2, 2, 0, -4, 2, 2, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, 0, -4, 2, 2, 0, -4, 2, 2, 0, -4, 2, 2, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2, 5, -2, 2, -2, -2, 2, -5, 2]",8.178864701842397
"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",not found,not found,not found
"""Sorry Not Sorry""",Demi Lovato,"[1, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6]","[0, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4]",13.411690602166793
"""How Long""",Charlie Puth,not found,not found,not found
"""Lights Down Low""",Max featuring Gnash,"[1, 2, 6, 1, 2, 6, 1, 2, 6, 4, 5, 6, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 1, 2, 6, 1, 2, 6, 4, 5, 6, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 2, 1, 6, 5, 2, 1, 6, 5, 4, 5, 6, 5, 4, 5, 6, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 5, 2, 1, 6, 2, 1, 6, 5, 2, 1, 6, 5]","[2, -5, 3, 2, -5, 3, 2, -5, -4, 2, 2, 5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, -2, 5, 2, -5, 3, 2, -5, -4, 2, 2, 5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, 5, -2, -3, -2, -5, -2, -3, -2, -2, 2, 2, -2, -2, 2, 2, 5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, -2, -5, -2, -3, 5, -2, -3, -2, -5, -2, -3, -2]",7.7708576894462755
"""Young Dumb & Broke""",Khalid,"[1, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 6, 5, 1, 1, 6, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5]","[0, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2, 5, -3, -2, 5, 0, -3, 3, 0, -3, -2, 5, 0, -3, -2, 5, 0, -3, -2]",8.97
"""One Kiss""",Calvin Harris and Dua Lipa,"[1, 6, 0, 7, 6, 1, 0, 1, 1, 0, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 1, 0, 0, 6, 6, 0, 1, 1, 0, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 1, 0, 0, 6, 6, 0, 1, 1, 0, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0, 6, 7, 1, 1, 0, 6, 7, 1, 1, 0, 6, 7, 1, 1, 0, 6, 7, 1, 1, 0, 1, 0, 0, 6, 6, 0, 1, 1, 0, 0, 6, 6, 0, 1, 0, 6, 6, 0, 1, 0, 6, 6, 0]","[-4, 5, -3, -2, 4, 1, -1, 0, 1, 0, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 0, 1, 0, -5, 0, 5, -1, 0, 1, 0, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 4, 1, -5, 0, 5, -1, 1, -5, 0, 5, -1, 0, 1, 0, -5, 0, 5, -1, 0, 1, 0, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5, -5, 2, 2, 0, 1, -5, 2, 2, 0, 1, -5, 2, 2, 0, 1, -5, 2, 2, 0, 1, -1, 1, 0, -5, 0, 5, -1, 0, 1, 0, -5, 0, 5, -1, 1, -5, 0, 5, -1, 1, -5, 0, 5]",9.104532444786193
"""Natural""",Imagine Dragons,"[1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1]","[-5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5]",25.0
"""You Make It Easy""",Jason Aldean,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1]","[-5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, 0, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5]",8.505562130177514
"""Shape of You""",Ed Sheeran,"[1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6]","[5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, -5, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, -5, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, -5, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3, 2, 2, 5, 3]",2.6575963718820863
"""I Get the Bag""",Gucci Mane featuring Migos,not found,not found,not found
"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo",not found,not found,not found
"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,not found,not found,not found
"""Sky Walker""",Miguel featuring Travis Scott,"[1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3]","[3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3, -3, 3]",8.999342537804077
"""Marry Me""",Thomas Rhett,"[1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 0, 3, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 0, 3, 1, 5, 3, 2, 1, 5, 3, 2, 6, 5, 1, 5, 6, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 0, 3, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2]","[-5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, 5, -5, -3, -2, -2, -5, -3, -2, -2, -5, -4, 1, -4, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, 5, -5, -3, -2, -2, -5, -3, -2, -2, -5, -4, 1, -4, -5, -3, -2, -2, -5, -3, -2, -5, -2, 5, -5, 2, 5, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -4, 1, -4, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2, -2, -5, -3, -2]",4.0981760000000005
