Title,Artist,Harmony
"""The Monster""",Eminem featuring Rihanna,not found
"""Say Something""",A Great Big World and Christina Aguilera,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 3, 5, 6, 3, 7, 3, 5, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 3, 5, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3]"
"""Team""",Lorde,"[1, 1, 0, 5, 1, 0, 5, 1, 0, 5, 4, 1, 5, 0, 4, 1, 5, 0, 4, 1, 5, 5, 1, 0, 5, 1, 0, 5, 4, 1, 5, 0, 4, 1, 5, 0, 4, 1, 5, 5, 4, 1, 5, 5, 4, 1, 5, 0, 4, 1, 5, 0, 4, 1, 5, 0, 4, 1, 5, 1]"
"""Let Her Go""",Passenger,"[1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 4, 1, 2, 0, 4, 1, 0, 4, 1, 2, 0, 4, 1, 2, 0, 1, 6, 2, 0, 1, 2, 0, 1, 6, 2, 0, 1, 2, 0, 1, 6, 2, 0, 1, 0, 4, 1, 2, 0, 4, 1, 0, 4, 1, 2, 0, 4, 1, 2, 0, 1, 6, 2, 0, 1, 2, 0, 1, 6, 2, 0, 1, 0, 4, 1, 2, 0, 4, 1, 0, 4, 1, 2, 0, 4, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 6, 2, 0, 1, 0, 4, 1, 2, 0, 4, 1, 0, 4, 1, 2, 0, 4, 1, 0, 4, 1, 2, 0, 4, 1]"
"""Royals""",Lorde,"[1, 1, 1, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 1, 1, 1, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1]"
"""Let It Go""",Idina Menzel,"[1, 6, 7, 4, 4, 1, 6, 7, 4, 4, 1, 6, 7, 4, 4, 1, 7, 4, 7, 6, 7, 6, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 5, 0, 6, 3, 7, 1, 6, 7, 4, 1, 7, 4, 4, 7, 6, 7, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 5, 0, 6, 6, 6, 7, 1, 6, 7, 4, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 6, 5, 0, 6]"
"""Wake Me Up""",Avicii,"[1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 1, 6, 3, 5, 1]"
"""Demons""",Imagine Dragons,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 5, 6, 4, 1, 5, 6, 1, 1, 5, 6, 4, 1, 5, 6, 4, 1]"
"""Story of My Life""",One Direction,"[1, 3, 1, 3, 1, 3, 1, 6, 3, 1, 6, 3, 6, 7, 1, 6, 7, 1, 6, 7, 1, 7, 3, 6, 1, 6, 3, 3, 6, 1, 6, 3, 1, 3, 1, 3, 1, 6, 3, 1, 6, 3, 6, 7, 1, 6, 7, 1, 6, 7, 1, 7, 3, 6, 1, 6, 3, 3, 6, 1, 6, 3, 1, 7, 1, 7, 3, 3, 6, 6, 1, 6, 3, 6, 1, 6, 3, 3, 6, 1, 6, 3]"
"""Chandelier""",Sia,"[1, 4, 0, 5, 1, 4, 0, 5, 0, 1, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 1, 4, 0, 5, 0, 1, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0]"
"""Black Widow""",Iggy Azalea featuring Rita Ora,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 1, 1, 6, 3, 7, 1, 6, 3, 7]"
"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 0, 1, 0, 1, 5, 0, 1, 5, 1, 0, 1, 0, 1, 5, 0, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 0, 1, 0, 1, 5, 0, 1, 5, 1, 0, 1, 0, 1, 5, 0, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 0, 1, 0, 1, 5, 0, 1, 5, 1, 0, 1, 0, 1, 5, 0, 1, 5, 1, 1, 1, 1, 1, 0, 1, 0, 1, 5, 0, 1, 5, 0]"
"""Latch""",Disclosure featuring Sam Smith,"[1, 6, 3, 7, 7, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]"
"""Maps""",Maroon 5,not found
"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,"[1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 6, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1, 1, 7, 6, 6, 7, 1]"
"""Best Day of My Life""",American Authors,not found
"""Habits (Stay High)""",Tove Lo,"[1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 3, 5]"
"""Summer""",Calvin Harris,"[1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 2, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 7, 1, 1, 3, 2, 6, 7, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 2, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 7, 1, 1, 3, 2, 6, 7, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 2, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 2, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 7, 1, 1, 3, 2, 6, 7, 1, 1, 3, 2, 6, 5, 1, 1, 3, 2, 6, 5, 1]"
"""Boom Clap""",Charli XCX,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
"""Drunk in Love""",Beyoncé featuring Jay-Z,not found
"""Anaconda""",Nicki Minaj,"[1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 1, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 1, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 1, 1, 5, 1, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 5]"
"""Break Free""",Ariana Grande featuring Zedd,"[1, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 1, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 1, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 4, 1, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0]"
"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 6, 1, 7, 4, 6, 1, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 6, 1, 7, 4, 6, 1, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]"
"""Burn""",Ellie Goulding,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
"""Wiggle""",Jason Derulo featuring Snoop Dogg,"[1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4]"
"""Rather Be""",Clean Bandit featuring Jess Glynne,"[1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 4, 4, 4, 4, 5, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 4, 4, 4, 4, 5, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 4, 4, 4, 4, 5, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 4, 4, 4, 4, 5, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 4, 4, 4, 4, 5, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 1, 7, 6, 6, 3, 4, 4, 4, 4, 5]"
"""Don't Tell 'Em""",Jeremih featuring YG,"[1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5]"
"""Show Me""",Kid Ink featuring Chris Brown,not found
"""Wrecking Ball""",Miley Cyrus,"[1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6, 1, 3, 5, 6, 1, 3, 5, 1, 3, 7, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6]"
"""Not a Bad Thing""",Justin Timberlake,not found
"""Roar""",Katy Perry,"[1, 1, 1, 1, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 1, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 5, 5, 5, 5, 5, 5, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1]"
"""Ain't It Fun""",Paramore,"[1, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 3, 7, 6, 3, 7, 6, 1, 3, 6, 1, 3, 3, 3, 3, 3, 1, 7, 6, 3, 1, 7, 6, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 3, 7, 6, 3, 7, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 6, 1, 3, 6, 1, 3, 6, 6, 1, 3, 6, 1, 3, 6, 6, 1, 3, 6, 1, 3, 6, 6, 1, 3, 6, 1, 3, 6, 6, 1, 3, 6, 1, 3, 6, 1, 3]"
"""The Man""",Aloe Blacc,"[1, 5, 6, 5, 2, 3, 2, 1, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 2, 1, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 6, 3, 2, 5, 6, 6, 7, 1, 5, 6, 5, 2, 3, 2, 1, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 2, 1, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 6, 3, 2, 5, 6, 6, 7, 1, 5, 6, 5, 2, 3, 2, 1, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 2, 1, 1, 6, 2, 3, 1, 6, 2, 3, 1, 5, 6, 5, 2, 3, 2, 1, 1, 5, 6, 5, 2, 3, 2, 1, 2, 3, 2, 1]"
"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan,"[1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 3, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 3, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 3, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2]"
"""Classic""",MKTO,"[1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 1, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1, 1, 5, 4, 4, 5, 6, 6, 5, 4, 4, 5, 1]"
