Title,Artist,Harmony
"""Viva la Vida""",Coldplay,"[1, 6, 3, 3, 7, 3, 1, 6, 3, 3, 1, 6, 3, 1, 6, 3, 3, 1, 7, 3, 6, 6, 0, 6, 6, 6, 0, 6, 6, 6, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 0, 3, 6, 6, 0, 3, 6, 6, 0, 3, 6, 0, 3, 6, 6, 0, 3, 6, 0, 0, 6, 0, 3, 6, 6, 0, 3, 6, 6, 0, 3, 6, 0, 3, 6, 6, 0, 3, 6, 6, 0, 3, 6, 6, 0, 3, 6, 0, 3, 6, 6, 0, 3, 6, 0, 0, 6, 0, 3, 6, 0, 0, 6, 0, 3, 6, 7, 7, 0, 0, 0, 0, 6, 6, 4, 6, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 6, 7, 0, 6, 4, 0, 0, 6, 0, 0, 6, 7, 4, 4, 0, 0, 4, 7, 0, 0, 0, 7, 0, 7, 7, 7, 4, 4, 7, 4, 4, 0, 0, 4, 7, 0, 4, 7, 4, 4, 7, 4, 4, 0, 0, 4, 7, 0, 4, 0, 0, 0, 4, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 7, 7, 7, 0, 0, 6, 0, 6, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0, 7, 0, 0, 6, 7, 0, 0, 6, 7, 6, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 0, 6, 0, 0, 0, 6, 0, 0, 7, 0, 0, 6, 7, 0, 0, 6, 7, 6, 0, 6, 7, 0, 0, 6, 7, 0, 0, 6, 6, 6, 6, 6, 0, 0, 3, 6, 6, 6, 4, 1, 0, 0, 3, 6, 0, 3, 6, 6, 6, 0, 0, 3, 4, 1, 6, 6, 6, 0, 0, 3, 6, 6, 6, 0, 0, 3, 6, 6, 6, 4, 1, 0, 0, 3, 6, 0, 3, 6, 6, 6, 6, 0, 0, 3, 6, 6, 6, 4, 1, 0, 0, 3, 6, 0, 3, 6, 6, 6, 6, 0, 0, 3, 6, 6, 6, 0, 0, 3, 6, 6, 6, 4, 1, 0, 0, 3, 6, 0, 3, 6, 6, 6, 6, 0, 0, 3, 6, 6, 6, 4, 1, 0, 0, 3, 6, 0, 3, 6, 7, 7, 3, 3, 3, 0, 3, 1, 7, 3, 3, 3, 0, 3, 1, 7, 3, 3, 3, 0, 7, 3, 3, 3, 0, 3, 1, 7, 3, 3, 3, 0, 3, 1, 7, 7, 0, 3, 7, 7, 7, 7, 0, 3, 7, 0, 4, 7, 7, 3, 3, 3, 0, 3, 1, 7, 3, 3, 3, 0, 3, 1, 7, 7, 0, 3, 7, 7, 7, 7, 0, 3, 7, 0, 4, 0, 4, 7, 7, 0, 3, 7, 0, 4, 7, 6, 4, 3, 0, 6, 4, 4, 3, 3, 3, 3, 4, 4, 6, 4, 4, 6, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 6, 6, 4, 1, 6, 4, 4, 6, 4, 4, 6, 0, 6, 0, 7, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 7, 0, 6, 0, 7, 0, 6, 0, 7, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 4, 7, 0, 6, 0, 7, 7, 0, 6, 0, 7, 0, 6, 0, 7, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 4, 7, 0, 7, 6, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 0, 7, 0, 6, 4, 7, 5, 3, 1, 5, 3, 1, 3, 4, 5, 4, 3, 7, 5, 1, 4, 5, 5, 3, 1, 5, 3, 1, 3, 4, 5, 4, 3, 7, 5, 1, 4, 5, 5, 5, 3, 1, 3, 4, 5, 4, 3, 7, 5, 1, 4, 5, 7, 3, 2, 3, 5, 1, 3, 5, 1, 3, 2, 7, 3, 7, 5, 1, 4, 5, 1, 7, 3, 7, 5, 1, 4, 5, 0, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 6, 0, 0, 6, 7, 0, 0, 4, 0, 3, 0, 0, 0, 6, 0, 0, 6, 0, 0, 6, 7, 0, 0, 4, 0, 0, 3, 3, 7, 3, 7, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 6, 0, 6, 0, 4, 6, 0, 6, 0, 4, 6, 0, 4, 6, 0, 6, 0, 4, 6, 0, 4, 6, 6, 4, 3, 6, 6, 4, 3, 6, 6, 3, 4, 6, 3, 4, 3, 6, 3, 4, 3, 4, 6, 3, 4, 3, 6, 3, 4, 3, 4, 6, 3, 4, 3, 6, 3, 4, 3, 4, 6, 3, 4, 3, 4, 5, 3, 4, 7, 5]"
"""I Kissed a Girl""",Katy Perry,"[1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 1, 4, 6, 5, 1, 1, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1, 1, 4, 6, 5, 1, 1, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 6, 5, 1, 7, 6, 5, 1, 7, 4, 1, 1, 4, 6, 5, 1, 1, 4, 6, 5, 1, 3, 4, 6, 5, 1, 3, 4, 6, 5, 1]"
"""Whatever You Like""",T.I.,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]"
"""Disturbia""",Rihanna,"[1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6]"
"""Don't Stop the Music""",Rihanna,"[1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3]"
"""Pocketful of Sunshine""",Natasha Bedingfield,"[1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6]"
"""Kiss Kiss""",Chris Brown featuring T-Pain,"[1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6]"
"""Closer""",Ne-Yo,not found
"""Bubbly""",Colbie Caillat,"[1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 3, 4, 5, 2, 3, 4, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 4, 1]"
"""Touch My Body""",Mariah Carey,"[1, 4, 5, 2, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5, 1, 4, 5, 2, 5, 1, 4, 2, 5]"
"""4 Minutes""",Madonna featuring Justin Timberlake and Timbaland,"[1, 1, 1, 1, 6, 4, 7, 1, 6, 4, 7, 1, 6, 4, 7, 1, 6, 4, 7, 1, 1, 1, 1, 1, 6, 4, 7, 1, 6, 4, 7, 1, 6, 4, 7, 1, 6, 4, 7, 1, 1, 1]"
"""So What""",Pink,not found
"""Paralyzer""",Finger Eleven,"[1, 1, 4, 3, 1, 2, 1, 2, 1, 2, 1, 1, 3, 1, 4, 3, 1, 4, 3, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 4, 3, 1, 4, 3, 1, 1, 4, 3, 1, 4, 3, 1, 1, 4, 3, 1, 4, 3, 1, 4, 3, 1, 4, 3, 1]"
"""Clumsy""",Fergie,not found
"""I'm Yours""",Jason Mraz,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 2, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 5, 4, 2, 1, 5, 6, 5, 4, 2, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 2, 1, 5, 6, 4]"
"""Leavin'""",Jesse McCartney,"[1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 1, 1, 6, 5, 5, 1, 1, 6, 5, 1]"
"""Dangerous""",Kardinal Offishall featuring Akon,"[1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 1, 2, 3, 3]"
"""Tattoo""",Jordin Sparks,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 6, 4, 1, 1, 1, 6, 4, 5, 4, 5, 4, 4, 5, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 5, 4, 5, 4, 4, 5, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 6, 4, 2, 4, 6, 5, 2, 4, 6, 3, 3, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 5, 6, 4, 1, 5, 6, 4, 5, 4, 1]"
"""See You Again""",Miley Cyrus,"[1, 6, 4, 1, 6, 5, 1, 6, 4, 1, 6, 5, 1, 6, 3, 7, 6, 3, 7, 6, 1, 3, 6, 1, 5, 1, 6, 3, 7, 6, 3, 7, 6, 1, 3, 6, 1, 5, 1, 1, 6, 3, 7, 6, 3, 7, 6, 1, 3, 6, 1, 5, 1]"
"""Shake It""",Metro Station,"[1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 4, 2, 0, 1, 4, 2, 0, 1, 1, 2, 4, 0, 1, 2, 4, 0]"
"""Stop and Stare""",OneRepublic,"[1, 1, 1, 1, 1, 1, 1, 1, 6, 4, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 1, 6, 4, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1]"
"""Take You There""",Sean Kingston,"[1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 1, 3, 6, 6, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7]"
"""Paper Planes""",M.I.A.,"[1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4]"
"""Hot n Cold""",Katy Perry,not found
"""Live Your Life""",T.I. featuring Rihanna,"[1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 3]"
"""Bust It Baby (Part 2)""",Plies featuring Ne-Yo,not found
"""American Boy""",Estelle featuring Kanye West,"[1, 0, 4, 5, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4, 1, 0, 4]"
"""Got Money""",Lil Wayne featuring T-Pain,not found
"""Our Song""",Taylor Swift,"[1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 2, 5, 2, 1, 4, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 2, 5, 2, 1, 4, 1, 2, 4, 5, 1, 2, 4, 5, 2, 4, 1, 5, 2, 4, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 2, 5, 2, 1, 4, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4, 5, 1, 2, 4]"
"""Damaged""",Danity Kane,"[1, 1, 1, 1, 6, 2, 4, 2, 6, 4, 3, 2, 1, 4, 1, 2, 1, 6, 6, 2, 4, 6, 3, 1, 2, 6, 3, 1, 2, 6, 2, 4, 4, 4, 2, 6, 6, 1, 4, 3, 6, 1, 4, 2, 1, 2, 1, 0, 1, 1, 4, 1, 2, 5, 5, 4, 1, 2, 0, 4, 1, 2, 5, 5, 4, 1, 2, 0, 4, 2, 1, 0, 4, 4, 4, 2, 2, 2, 1, 1, 1, 0, 0, 1, 2, 1, 2]"
"""A Milli""",Lil Wayne,not found
"""Sorry""",Buckcherry,"[1, 5, 1, 5, 1, 5, 3, 1, 3, 2, 6, 5, 2, 3, 7, 1, 2, 5, 2, 3, 2, 1, 2, 1, 5, 1, 5, 1, 5, 3, 1, 3, 2, 6, 5, 2, 3, 7, 1, 2, 5, 2, 3, 2, 1, 2, 3, 5, 2, 7, 1, 2, 3, 1, 3, 2, 6, 5, 2, 3, 7, 1, 2, 5, 2, 3, 2, 1, 2]"
"""Independent""",Webbie featuring Lil Boosie and Lil Phat,not found
"""Can't Believe It""",T-Pain featuring Lil Wayne,not found
"""Like You'll Never See Me Again""",Alicia Keys,"[1, 4, 5, 4, 1, 2, 1, 1, 4, 5, 4, 1, 2, 1, 3, 2, 3, 2, 3, 2, 1, 1, 3, 6, 4, 1, 2, 1, 1, 1, 3, 6, 4, 1, 2, 1, 1, 6, 5, 4, 1, 2, 1, 4, 5, 4, 1, 2, 1, 1, 4, 5, 4, 1, 2, 1, 3, 2, 3, 2, 3, 2, 1, 1, 3, 6, 4, 1, 2, 1, 1, 6, 5, 4, 1, 2, 1, 1, 1, 3, 6, 4, 1, 2, 1]"
"""Teardrops on My Guitar""",Taylor Swift,"[1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 6, 4, 1, 5, 1, 6, 4, 5, 1, 6, 4, 5, 6, 4, 1, 5, 1, 5, 6, 4, 1, 5, 6, 4, 1, 6, 4, 5, 1, 6, 4, 5, 6, 4, 1, 5, 1, 5, 6, 4, 1, 5, 6, 4, 1, 6, 4, 5, 6, 4, 1, 5, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 6, 4, 5, 1]"
"""When I Grow Up""",Pussycat Dolls,"[1, 1, 7, 0, 6, 4, 5, 3, 1, 7, 0, 6, 1, 7, 0, 6, 1, 7, 0, 6, 1, 7, 0, 6, 1, 7, 0, 6, 1, 7, 0, 6, 4, 5, 6, 5, 4, 5, 3, 1, 7, 0, 6]"
"""Sexual Eruption""",Snoop Dogg,not found
"""What You Got""",Colby O'Donis featuring Akon,"[1, 4, 0, 0, 5, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
"""It's Not My Time""",3 Doors Down,"[1, 3, 6, 6, 3, 7, 6, 1, 6, 1, 6, 1, 6, 1, 1, 6, 3, 7, 7, 6, 3, 7, 6, 1, 6, 1, 6, 1, 6, 1, 1, 6, 3, 7, 7, 6, 3, 7, 6, 1, 3, 7, 7, 6, 3, 7, 6, 1, 1, 6, 3, 7, 7, 6, 3, 7, 6, 1, 3, 7, 7, 6, 3, 7, 6, 1]"
"""Better in Time""",Leona Lewis,not found
"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,not found
"""Shadow of the Day""",Linkin Park,"[1, 7, 6, 7, 1, 7, 6, 7, 1, 7, 6, 7, 1, 7, 6, 7, 1, 7, 6, 3, 4, 1, 6, 3, 4, 1, 6, 3, 7, 1, 6, 3, 4, 1, 6, 1, 7, 6, 7, 1, 7, 6, 7, 1, 7, 6, 7, 1, 7, 6, 7, 1, 7, 6, 3, 4, 1, 6, 3, 4, 1, 6, 3, 7, 1, 6, 3, 4, 1, 6, 3, 4, 1, 6, 3, 4, 1, 6, 3, 7, 3, 4, 1, 6, 3, 4, 1, 6, 3, 4, 1, 6, 3, 7, 1, 6, 3, 4, 1, 6, 3]"
"""Sweetest Girl (Dollar Bill)""","Wyclef Jean featuring Akon, Lil Wayne and Niia",not found
"""Miss Independent""",Ne-Yo,"[1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 3, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 2, 5, 2, 1, 2, 4, 4, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2]"
"""Fall for You""",Secondhand Serenade,"[1, 6, 3, 7, 1, 6, 3, 7, 6, 7, 3, 1, 6, 7, 3, 1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 6, 7, 3, 1, 6, 7, 3, 1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 6, 3, 1, 6, 7, 3, 1, 6, 7, 3, 1, 6, 7, 3, 1, 6, 7, 3]"
"""In the Ayer""",Flo Rida featuring will.i.am,not found
"""Say""",John Mayer,not found
"""One Step at a Time""",Jordin Sparks,"[1, 7, 5, 4, 3, 5, 1, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 6, 0, 6, 0, 7, 3, 4, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4]"
