№,Title,Artist,Lyrics_URL,Lyrics
45,"""Ice Box""",Omarion,https://genius.com/Omarion-ice-box-lyrics,fussin fightin back know fault understand got memory crazy nothing like girl used know good good pa cool nigga try truth wan na let damn memory crazy nothing like girl used know girl really wan na work 'cause tired fighting really hope still want way want said really wan na work damn girl trying excuse excuse chorus omarion timbaland got icebox heart used got icebox heart used cold cold cold cold cold cold cold got icebox heart used got icebox heart used cold cold cold cold cold cold cold ca get right ca let go opened let wo feel got memory crazy nothing like girl used know mean take baby ca help 'cause heart ol condition baby left apologize look eye promise wo yeah yeah girl really wan na work 'cause tired fighting really hope still want way want said really wan na work damn girl trying excuse excuse chorus omarion timbaland got icebox heart used got icebox heart used cold cold cold cold cold cold cold got icebox heart used got icebox heart used cold cold cold cold cold cold cold bridge timbaland omarion wan na stuck cold cold world wan na mess better keep eye girl wan na mess better keep eye girl wan na mess better keep eye girl wan na stuck cold cold world wan na mess better keep eye girl wan na mess better keep eye girl wan na mess better keep eye girl girl really wan na work 'cause tired fighting really hope still want way want said really wan na work damn girl trying excuse excuse chorus omarion timbaland said got icebox heart used got icebox heart used cold cold cold cold cold cold cold got icebox heart used got icebox heart used cold cold cold cold cold cold cold girl really wan na work 'cause tired fighting omarion bitch
46,"""Lips of an Angel""",Hinder,https://genius.com/Hinder-lips-of-an-angel-lyrics,honey callin late kinda hard talk right honey cryin everything okay got ta whisper 'cause ca loud oh well girl next room sometimes wish guess never really moved really good hear voice sayin name sound sweet comin lip angel hearin word make weak never wan na say goodbye girl make hard faithful lip angel ‘ funny callin tonight yes dreamt know talkin start fight think clue oh well girl next room sometimes wish guess never really moved really good hear voice sayin name sound sweet comin lip angel hearin word make weak never wan na say goodbye girl make hard faithful lip angel really good hear voice sayin name sound sweet comin lip angel hearin word make weak never wan na say goodbye girl make hard faithful lip angel girl make hard faithful lip angel honey callin late
47,"""Waiting on the World to Change""",John Mayer,https://genius.com/John-mayer-waiting-on-the-world-to-change-lyrics,one two one two three friend misunderstood say stand nothing way ever could see everything going wrong world lead feel like mean rise beat keep waiting waiting world change keep waiting waiting world change hard beat system standing distance keep waiting waiting world change power bring neighbor home war would never missed christmas ribbon door trust television get got 'cause information oh bend want waiting waiting world change keep waiting waiting world change care know fight fair keep waiting waiting world change still waiting waiting world change keep waiting waiting world change one day generation gon na rule population keep waiting waiting world change keep waiting waiting world change keep waiting waiting world change waiting world change waiting world change waiting world change
48,"""Lost Without U""",Robin Thicke,https://genius.com/Robin-thicke-lost-without-u-lyrics,lost without ca help feel know love baby lost without ca help feel know love baby tell love think sexy baby want nobody else want guy want guy wan na touch see tell love body make feel baby wan na roll wan na hold wan na stay warm get cold love hear say make man feel good baby tell depend need hear lost without ca help feel know love baby lost without ca help feel know love baby baby perfect shape baby perfect weight treat like birthday want way want way want tell want stop stop tell would break heart love dirty wan na roll wan na hold wan na make fire get norwegian wood love hear say make man feel good baby lost without ca help feel know love baby lost without ca help feel know love baby cause tell every morning ooh alright baby oh yeah oh baby oh darling alright lost without ca help feel know love baby lost without ca help feel know love baby ooh yeah oh baby oh darlin right-right oh baby oh darlin ooh ooh baby right-right yeah
49,"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,https://genius.com/R-kelly-im-a-flirt-lyrics,flirt soon see walk club flirt winking eye roll dub flirt sometimes chick low flirt man looking damn right flirt homie bring girl meet cuz flirt baby bring girlfriend eat cuz flirt please believe unless game tight trust bring around flirt swear tell truth whole truth come pimping like supposed rolling like supposed shining like supposed club freaking honey like supposed understand playa bring girlfriend club freaking floor girlfriend club wonder playas trying holler soon go bathroom playa gon holler dog prowl walking mall could man would probably flirt y'all yeah yeah homie say girlfriend step i'mma like cousin believe man playas chi plus got playerette flirters chi moral story cuff chick cuz hey black handsome sing plus rich flirt hey homie got money better keep away ya dig well ya love ya girl wan na keep ya girl walkin askin meet ya girl well enough flirt speak ya girl winked eye sly seen cha girl better treat girl right cuz another man better eat eat ya girl like another man cuz leave ya wife see ya wife real long ya think fixin ya wife well livin life gettin right ya old lady look cuz hittin right probably used like cuz business type till came along put life wan na see as lookin thick light noticed checkin diggin ice get tonight bet hit twice even make mine hit right know smack thang sit right dress see yeah right pullin hair like gettin fight yeah know kind tight sweat right ya girl sexy test upset g cuz might catch tryin catch glance skirt put plan reverse see like flirt pull club shorties like damn twenty-eight like girl know hate see done fell love stripper y'all flirt get draw need help got pact teddy pain born flirt ca i'mma flirt whether town call teddy bend-er-ass like como se llamo lil mama llamo pain name feeling vibe hoping feel i'mma wink eye let know got game pas know exactly say fly yes cool hey shorty hey shorty mad cause looking already touch got boyfriend mad cause flirt oh remix walk club bad chick lookin gon hit man jackin chick tried quit playa homie hit buying drink club acting like love stunting like thug switching number looking walk turn head wink eye ca help checking platinum type guy calling daddy calling mommy calling kelly name tommy know y'all thinking bring 'em around let remind king r b know mean mean love chick bring v.i.p cuz might leave chick keeping real n playa field n take chick club met n cuz i'mma flirt right gon flirt right lickin good gon flirt flirt
50,"""If Everyone Cared""",Nickelback,https://genius.com/Nickelback-if-everyone-cared-lyrics,underneath tree watch sky confusing star satellite never dreamed mine tonight singing amen alive singing amen alive everyone cared nobody cried everyone loved nobody lied everyone shared swallowed pride see day nobody died singing amen amen alive amen amen amen alive air firefly light paradise show world wrong teach sing along singing amen alive singing amen alive everyone cared nobody cried everyone loved nobody lied everyone shared swallowed pride see day nobody died everyone cared nobody cried everyone loved nobody lied everyone shared swallowed pride see day nobody died nobody died lie beneath star realize small could love like imagine world could everyone cared nobody cried everyone loved nobody lied everyone shared swallowed pride see day nobody died everyone cared nobody cried everyone loved nobody lied everyone shared swallowed pride see day nobody died see day see day nobody died see day see day nobody died see day nobody died
51,"""Get It Shawty""",Lloyd,https://genius.com/Lloyd-get-it-shawty-lyrics,jlack track man guess let moment slip away cause got eye see looking shoulder let make way excuse miss lady body looking right type like pursue get little closer get know exchange name thangs night really want back go put weight cause alright wan na make believe ya oooh wan na see ya get shawty get shawty get-get-get-get-get get shawty get shawty guess let night drift away baby gon cause wan na lose come keep moving excuse miss lady body looking right type like pursue get little closer get know exchange name thangs night really want back go put weight cause alright wan na make believe ya oooh wan na see ya get shawty get shawty get-get-get-get-get get shawty get shawty jean tight high heel make feel lip glossed teeth white apple bottom let bite spend night catch flight what-what like feeling right ya smelling good let get understood something telling daughter frankie beverly way move way groove fan celebrity freaky stuff shawty got geeked like fabo got play-doh let show street love really want back go put weight cause alright wan na make believe ya oooh wan na see ya get shawty get shawty get-get-get-get-get get shawty get shawty
52,"""Face Down""",The Red Jumpsuit Apparatus,https://genius.com/The-red-jumpsuit-apparatus-face-down-lyrics,hey girl know drive crazy one look put rhythm hand still never understand hang around see going cover makeup mirror tell never gon na happen cry alone swears love feel like man push around feel better fall ground well tell friend one day world going end lie crumble new life found pebble water make ripple effect every action world bear consequence wade around forever surely drown see going see way go say right say right heed lecture feel like man push around feel better fall ground well tell friend one day world going end lie crumble new life found face dirt said hurt said finally enough face dirt said hurt said finally enough one day tell enough coming 'round feel like man push around feel better fall ground well tell friend one day world going end lie crumble new life found feel like man push around feel better fall ground well tell friend one day world going end lie crumble new life found face dirt said hurt said finally enough
53,"""The Way I Live""",Baby Boy da Prince,https://genius.com/Baby-boy-da-prince-the-way-i-live-lyrics,d-wizzle track d-wizzy track baby boy da prince p town moe extreme entertainment way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live six month later big dog status name elevated still act average rockin show dallas ball like play maverick west bank rapper one baddest french riviera spot getting shape man think super m-a-n without cape man ridin day hustlin cake man benjamin stack one inch taller great dane first made cheap ray-ban like felon growin spittin hotter mohellans steal every girl ever gon fly young little dude stay runnin cop marrero place got prop people love da hood want stop uhh way know rock stay rapper like stop ‘ til drop way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live baby boy done ridin fly d-wizzle ‘ cedes benz twenty-two wan na ride lady red bull grey goose lady bent go thing shady tent question say cause lady pimp see little one right fellow got stripe represent marrero life money pocket still act trife da club say parlor right look great way feel hustlin hard day way live way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live two-seat rider ketchup inside red pepper paint must believe ish ride pause like stop sign rollin cause door open open lamboin stashed stage throwin cause say like katrina money blow shhhh real gravy three year da eighty solo shabo valley animal played commodore mirage nike hirages cost 250 put foot inside wearing rock time shine give viesels thinkin mcdonalds size fly crib ri de fifty-four inch screen 26 inch ceiling dude plasma look like projector da livin room homie way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live lil boy still pushin big wheel stack money lay low chill need work hard way feel feel way live ho way live ho way live ho way live ho way live ho way live live way like like like like like like like like like like like like like like like like like like like like like like like like oh na na na na na na na na oh na na na na na na na oh na na na na na na na na oh na na na na na na na na groove jam groove jam groove jam groove groove jam groove jam groove jam groove groove groove jam groove jam groove jam groove groove groove jam groove jam groove jam
54,"""Shortie Like Mine""",Bow Wow featuring Chris Brown and Johntá Austin,https://genius.com/Bow-wow-shortie-like-mine-lyrics,l-b dub y'all know chorus chris brown johntá austin thing keep ha feeling know got ta keep mine around 'cause done looked done searched hard find another shortie like mine uh-huh baby yes addicted kick everything say going shorties around world never knew could wicked hoping stay search around world never find uh another shortie like mine c'mon shortie like mine post-chorus bow wow chris brown johntá austin tell nigga uh got girl nothing like mine uh cute face nice size like mine stay kitted hood like mine ha mean walk talk talk let tell woo verse 1 bow wow johntá austin knew ran one would redrum pimpin uh-huh knew would one make stop carin girl jock gettin oh one slow hold roll know go i'ma grow i'ma go get got let go mad ca get one hotter uh-huh broke mold made lil momma uh care niggas​ say every day drama c'mon homies hate 'cause want wish one datin woman oh gon get good look 'cause fine uh-huh mind 'cause mine say chorus chris brown johntá austin thing keep feeling know got ta keep mine around 'cause done looked done searched hard find another shortie like mine uh-huh baby yes addicted kick everything say addicted shawty afraid snap finger never knew could wicked hoping stay search around world never find another shortie like mine shortie like mine uh uh uh uh post-chorus bow wow chris brown johntá austin tell nigga uh got girl nothing like mine nah cute face nice size like mine yeah stay kitted hood like mine yeah mean walk talk chris help tell 'em wassup verse 2 chris brown johntá austin got love inside wan na give break break break care fella say 'bout uh 'cause got something say 'bout yeah uh say straight real talk cut play 'bout price put girl know uh-huh say need hear i'ma tell something else know nothing else know chorus chris brown johntá austin thing keep feeling thing need yeah know got ta keep mine around 'cause done looked done searched hard find another shortie like mine baby yes addicted kick everything say never knew could wicked hoping stay search around world never find another shortie like mine ha shortie like mine post-chorus bow wow chris brown johntá austin tell nigga uh got girl nothing like mine uh-huh cute face nice size like mine mine stay kitted hood like mine mean walk talk talk let tell bow wow let go verse 3 bow wow johntá austin wan na give world ever tryna lose uh-huh addicted girl way twirl little skirt uh-huh club crib street rep l-b dub e-n-t nice size pretty brown bright eye winner right prize come i'ma give rhythm hi-hat got beautiful mind ca buy nuh-uh sight behind walk make nigga wan na try yeah got prettiest smile gangsta uh-huh keep runnin wild thank talk anythin got good conversation homie little friend plus patient oh chorus chris brown johntá austin chris brown johntá austin thing keep feeling know got ta keep mine around 'cause done looked done searched hard find another shortie like mine like mine baby yes yes addicted kick everything say everything never knew could wicked hoping stay search around world never find another shortie like mine ha shortie like mine post-chorus bow wow chris brown johntá austin tell nigga uh got girl nothing like mine cute face nice size like mine oh oh stay kitted hood like mine oh oh mean walk talk talk let tell outro chris brown johntá austin thing keep feeling know uh-huh got ta keep mine around uh-huh 'cause done looked done searched hard find another shortie like mine right baby yes addicted kick everything say never knew could wicked hoping stay
55,"""It Ends Tonight""",The All-American Rejects,https://genius.com/The-all-american-rejects-it-ends-tonight-lyrics,subtlety strangle ca explain want need want need wall start breathin mind unweavin maybe best leave alone weight lifted evenin give final blow darkness turn light end tonight end tonight fallin star least fall alone ca explain ca explain findin thing know look disdain wall start breathin mind unweavin maybe best leave alone weight lifted evenin give final blow darkness turn light end tonight end tonight little insight wo make right late fight end tonight end tonight side better bein side fault blind better see eye thought locked inside first know darkness turn light end tonight end tonight little insight wo make right late fight end tonight end darkness turn light end tonight end tonight little insight wo make right late fight end tonight end tonight tonight insight darkness turn light end tonight
56,"""A Bay Bay""",Hurricane Chris,https://genius.com/Hurricane-chris-a-bay-bay-lyrics,baby 3. everybody say bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay wan na know say club white folk gangsta thug stuntin stack dub ridin 'lac mug club hollering bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay bay da club hollerin holla bay bay finna get groove hot club got shoe holdin big stack dem hunnids rubber band ask cash cause man everybody tripping cause limping walking pimping talking trick 'em talking boy back rollin dopey blow choke got got game flossin wen see bad chick hollerin bay bay hope ya boyfriend cuz care say care say say dj booth takin pic dj wan na know say club get crunk bay bay let play song turn wan na know say club get crunk bay bay let play song turn wan na know say club white folk gangsta thug stuntin stack dub ridin 'lac mug looking baby find banging chevy candy painted swinging 90 big car creep people right behind showed 'em chain hollering finding show mouth piece freak hiring oh got ta fire well hope trying throw car park reach seat hop hand shirt 9 yellow bone chirpin tryna see goin let get mouth well i'mma unpop trunk light chopper straight hotel baddest chick followin know like style trippin trying see gurl drunk well tell leaning thinking i'mma stunt tripping pulled expedition roof missin wan na know say club white folk gangsta thug stuntin stack dub ridin 'lac mug bay bay let play song turn club hot crunk sweating burning bouncin thru crowd bucking hollering wassup done fell dance floor ca get j ya foot ca get louis vuitton brown white yellow trick please go saint louis let chain hang low canary yellow diamond mixed rose gold shine real bright light cause star 8 shot patron standing bar tried get drunk skunk put key wrong car prolly got drunk skunk put key wrong car wan na know say club white folk gangsta thug stuntin stack dub ridin 'lac mug bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn bay bay let play song turn
57,"""Because of You""",Ne-Yo,https://genius.com/Ne-yo-because-of-you-lyrics,ooh-ooh-ooh ooh-ooh-ooh oh ooh-oh-oh-oh-oh ooh-oh-oh-oh-oh woah hmm want ca help love way feel got stuck fantasy real need want want tell stop everyday knowin wo got problem know even know would quit doubt taken thought know much true baby become addiction strung barely move like never get enough sweetest drug think every second ca get nothin done concern next time gon get know stay away 'cause good try try obsession wo let leave got problem know oh even know would quit doubt taken thought hey know much true baby become addiction strung barely move like never get enough sweetest drug doubt strung doubt strung ooh-ooh-oh never get enough sweetest drug know much true baby become addiction strung barely move like never get enough sweetest drug sweetest drug
58,"""I Tried""",Bone Thugs-n-Harmony featuring Akon,https://genius.com/Bone-thugs-n-harmony-i-tried-lyrics,bone thug akon yeah know nothin come easy got ta try real real hard tried hard guess got ta try harder tried hard ca seem get away misery man tried hard always victim street fault 'cause try get away trouble follows still try hard hopin one day come rescue posted right rain sleet hail snow posted right heat gettin dough first let explain black man come dark side havin hard time stayin track man mind racin even know chasin yet relationship startin see complication layin back prayin give peace mind thought right really wrong blind see fast lane chasin dream seem fame cash came got goin crazy-y-y lately faded tryin erase ca ‘ cause drama grows greater many collision puttin shit 'til later tried hard ca seem get away misery man tried hard always victim street fault 'cause try get away trouble follows still try hard hopin one day come rescue posted right rain sleet hail snow posted right heat gettin dough like takin five step forward ten step back tryin get ahead game ca seem get track keep runnin away one say love could create distance supposed close uh know fightin demon like curse ca shake part cleveland lord would help stop pain keep inflictin family hustlin gamblin trickin scramblin losin sight supposed handlin hard manage ‘ cause everyday challenge man slippin ca lose balance tryin panic tried hard ca seem get away misery man tried hard always victim street fault 'cause try get away trouble follows still try hard hopin one day come rescue posted right rain sleet hail snow posted right heat gettin dough see thing wo change stuck game soon get keep pullin back mane got doin dirty dirt used hustlin money understand 9-to-5 work studied street hustlas know mean hustlas ballin u tryin make major league never leave sun came got ta get it—no nope leavin budge today game play got ta go hard get put fall got ta watch sign try hard wo pull tried hard ca seem get away misery man tried hard always victim street fault 'cause try get away trouble follows still try hard hopin one day come rescue posted right rain sleet hail snow posted right heat gettin dough
59,"""Welcome To The Black Parade""",My Chemical Romance,https://genius.com/My-chemical-romance-welcome-to-the-black-parade-lyrics,young boy father took city see marching band said son grow would savior broken beaten damned said defeat demon non-believers plan made one day leave phantom lead summer join black parade young boy father took city see marching band said son grow would savior broken beaten damned sometimes get feeling watching time feel like go rise fall body street gone want know carry carry though dead gone believe memory carry carry heart ca contain anthem wo explain world sends reeling decimated dream misery hate kill u paint black take back let shout loud clear defiant end hear call carry carry though dead gone believe memory carry carry though broken defeated weary widow march carry fear disappointed face peer take look 'cause could care die never make world never take heart go try never break want wan na play part wo explain say sorry unashamed gon na show scar give cheer broken listen man hero boy sing song man hero care carry carry though dead gone believe memory carry carry though broken defeated weary widow march die never make world never take heart go try never break want wan na play part die never make world never take heart go try never break want wan na play part
60,"""Shawty""",Plies featuring T-Pain,https://genius.com/Plies-shawty-lyrics,intro ply t-pain ay happenin homie lil one ply man ay pain want tell 'em bout shawty homie i'ma tell 'em 'bout mine dawg even though man girl i'ma call shawty 'cause ca stand see treated bad beat as shawty nothin supposed 'cause shawty baby girl know home keep ringtone shawty yeah sing girl soon seen shit told pay lil mama baddest thing 'round already know pointed donk told supposed showed couple stack told let blow hottest nigga city baby ca ignore showed real nigga went first time caught shit even know throw back animal got sex game right taught talk take pipe opened showed real nigga like told 'o usually 'o fuck first night 'cause beat ya baby liable fuck ya whole life got trained suck ice call lil bust-it-baby 'cause keep tight whenever tell bust got ta tell twice whenever wan na get know get right even though man girl i'ma call shawty 'cause ca stand see treated bad beat as shawty nothin supposed 'cause shawty baby girl know home keep ringtone shawty yeah sing girl ohh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh shawty yeah oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh shawty whoa w-w-wh-oa oh love show 'cause dope boy want know wan na beat bae look as look pussy sit short got ta want love act like bowlegged bend corner proud fuckin 'cause stuntin 'em feel good fuckin real nigga called two day got ta let mind wonder miss call tell jump mind breakin 'cause drama done ripped know cuff lil mama know got ta somethin 'cause done beat honda bae snatchin tellin ya promise exposed real hate lame 'member used run like pain call sometimes ask thang ever since ran shawty even though man girl i'ma call shawty 'cause ca stand see treated bad beat as shawty nothin supposed 'cause shawty baby girl know home keep ringtone shawty yeah sing girl oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh shawty yeah oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh oh-oh shawty whoa w-w-wh-oa oh
61,"""Chasing Cars""",Snow Patrol,https://genius.com/Snow-patrol-chasing-cars-lyrics,everything need anything anyone lay lay would lie forget world quite know say feel three word said much enough lay lay would lie forget world forget told get old show garden burstin life let waste time chasin car around head need grace remind find lay lay would lie forget world forget told get old show garden burstin life ever perfect eye see know confused well know thing never change u lay lay would lie forget world
62,"""Beautiful Liar""",Beyoncé and Shakira,https://genius.com/Beyonce-and-shakira-beautiful-liar-lyrics,ay ay ay nobody like played oh beyoncé beyoncé oh shakira shakira verse 1 beyoncé shakira said worth one desire know thing would wan na read kissed one beautiful liar tell tolerate thing found pre-chorus shakira beyoncé never know one suffer let go wo one cry ay chorus beyoncé shakira let kill karma let start fight worth drama beautiful liar ca laugh worth time live without beautiful liar verse 2 shakira beyoncé trusted followed saw together know 'til saw walked love scene slow dancin stole everything say wrong yeah pre-chorus shakira beyoncé never know pain heartbreak let go innocence gone ay chorus beyoncé shakira let kill karma let start fight worth drama beautiful liar ca laugh worth time live without beautiful liar bridge shakira beyoncé tell forgive ooh ashamed oh ayy wish could free hurt pain answer simple one blame hey ay beyoncé beyoncé ay shakira shakira oh beyoncé beyoncé oh shakira shakira chorus beyoncé shakira let kill karma let start fight worth drama beautiful liar ca laugh worth time live without beautiful liar
63,"""SexyBack""",Justin Timberlake featuring Timbaland,https://genius.com/Justin-timberlake-sexyback-lyrics,verse 1 justin timberlake timbaland bringin sexy back yeah boy know act yeah think special behind back yeah turn around pick slack yeah take bridge c'mon pre-chorus justin timberlake timbaland dirty babe uh-huh see shackle baby slave uh-huh let whip misbehave uh-huh one make feel way uh-huh take chorus chorus timbaland justin timberlake come girl go 'head gone come back go 'head gone vip go 'head gone drink go 'head gone let see twerkin go 'head gone look hip go 'head gone make smile go 'head gone go 'head child go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy ha go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy verse 2 justin timberlake timbaland bringin sexy back yeah fucker know act yeah girl let make thing lack yeah 'cause burnin got ta get fast yeah take bridge ha pre-chorus justin timberlake timbaland dirty babe uh-huh see shackle baby slave uh-huh let whip misbehave uh-huh one make feel way uh-huh take chorus ha chorus timbaland justin timberlake come girl go 'head gone come back go 'head gone vip go 'head gone drink go 'head gone let see twerkin go 'head gone look hip go 'head gone make smile go 'head gone go 'head child go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy ha go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy ha ready ready ready uh verse 3 justin timberlake timbaland bringin sexy back yeah motherfucker watch attack yeah girl better watch back yeah 'cause burn fact yeah take chorus ha chorus timbaland justin timberlake come girl go 'head gone come back go 'head gone vip go 'head gone drink go 'head gone let see twerkin go 'head gone look hip go 'head gone make smile go 'head gone go 'head child go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy ha go 'head gone get sexy go 'head gone get sexy go 'head gone get sexy ready ready
64,"""Keep Holding On""",Avril Lavigne,https://genius.com/Avril-lavigne-keep-holding-on-lyrics,alone together stand side know take hand get cold feel like end place go know wo give wo give keep holding 'cause know make make stay strong 'cause know nothing could say nothing could way come truth keep holding 'cause know make make far away wish late could disappear door close come end side fight defend fight defend yeah yeah keep holding 'cause know make make stay strong 'cause know nothing could say nothing could way come truth keep holding 'cause know make make hear say say believe nothing gon na change nothing gon na change destiny whatever meant work perfectly yeah yeah yeah yeah la da-da-da la da-da-da la da-da-da-da-da-da-da-da keep holding 'cause know make make stay strong 'cause know nothing could say nothing could way come truth keep holding 'cause know make make keep holding keep holding nothing could say nothing could way come truth keep holding 'cause know make make
65,"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,https://genius.com/Keyshia-cole-let-it-go-lyrics,intro keyshia cole missy elliott need get wan na love right way gon na .. wan na yeah yeah new keyshia yes fire like one right one lady y'all holla mmm let go want'cho man 'cause got like even got ta like dat yo man callin back say fine matter fact ask fit jean baby phat listen know type trick playin warn want yo man verse 2 keyshia cole missy elliott understand wan na try make stay home late night wan na go gone lie ca explain many time tried many time cried thinkin mine might remember gave everything got could get deep inside love someone love c'mon get wan na love right way gon na wan na gon na love way let go gon na treat way let go gon na love way let go gon na treat way let go song come club gon like damn hot play car gon drop top like damn hot gon mix biggie dream like damn hot keyshia stop 'til tick tock like damn hot understand take time cause come alibi tryna get see tryna want man man callin tryna get see want one knew would finally see need get wan na love right way gon na .. wan na yeah yeah gon na love way let go gon na treat way let go gon na love way let go gon na treat way let go verse 4 lil kim keyshia cole uh uh uh little lesson lil kim stress 'em yeah yeah kick 'em straight curb like beckham broke wit ex little know rebound hey callin phone outta pocket ol girl need stop trickin tell got get picture picture wallet never ever thought would leave alone let dog roam wan na come home trust though still love longer want lookin cousin kinda buzzin loose goose got chase like cranberry juice wishin might wan na baby bay-bay love hey let go let go let go aye let go let go let go let go let go let go gon na love way let go gon na treat way let go gon na love way let go gon na treat way let go hand air song come club gon like damn hot play car gon drop top like damn hot gon mix biggie dream like damn hot kim keyshia stop 'til tick tock like damn hot yes fire baby
66,"""Apologize""",OneRepublic,https://genius.com/Onerepublic-apologize-lyrics,holdin rope got ten foot ground hearin say ca make sound tell need go cut wait tell sorry think turn around say late apologize late said late apologize late late oh late take another chance take fall take shot oh need like heart need beat nothing new yeah yeah loved fire red turnin blue say sorry like angel heaven let think afraid late apologize late said late apologize late woah woah late late apologize late said late apologize late said late apologize yeah said late apologize yeah holdin rope got ten foot ground
67,"""Bubbly""",Colbie Caillat,https://genius.com/Colbie-caillat-bubbly-lyrics,count awake got feeling like child 'cause every time see bubbly face get tingle silly place start toe crinkle nose wherever go always know make smile please stay take time wherever go rain fallin window pane hidin safer place cover stayin dry warm give feeling adore start toe make crinkle nose wherever go always know make smile please stay take time wherever go gon na say make feel way ... mm start toe make crinkle nose wherever go always know make smile please stay take time wherever go ta-da-dam ta-da da-dam ta-da-dam ta-da-da-da ta-da-dam um-ba da-da um-ba ta-da-da-da uhm mm-mmh asleep tuck like child 'cause every time hold arm comfortable enough feel warmth start soul lose control kiss nose feeling show 'cause make smile baby take time holding tight wherever wherever wherever go wherever wherever wherever go wherever go always know 'cause make smile even
68,"""Like a Boy""",Ciara,https://genius.com/Ciara-like-a-boy-lyrics,c-i-a-r-a pull pant take trash getting ya cash like 'em fast like 'em girl outta act like ya dig security code everything vibrate phone ever ring another one know wish could switch role could tell love call never get back would ask question like like 'cause four morning corner rolling thing oh thing side made ya cry would rule change would still apply played like toy sometimes wish could act like boy ca getting mad mad ca handle ca getting mad mad ca handle girl go 'head go run street come home sleep like em creep like em front ya friend act hard em like em keep straight face ya tell lie always keep air-tight alibi know wo break heart wish could switch role could tell love call never get back would ask question like like 'cause four morning corner rolling thing oh thing side made ya cry would rule change would still apply played like toy sometimes wish could act like boy ca getting mad mad ca handle ca getting mad mad ca handle ca getting mad mad ca handle ca getting mad mad ca handle always gone sun getting home told crew knew true act like walk mile yo shoe messing head dose medicine thing side made ya cry would rule change would still apply played like toy sometimes wish could act like boy ca getting mad mad ca handle ca getting mad mad ca handle ca getting mad mad ca handle ca getting mad mad ca handle r-a clutch played would yo like friend ... would like never call would like hell naw would like mad ca handle getting mad mad ca handle would still apply played like toy made ya cry sometimes wish could act like boy ca handle
69,"""Who Knew""",Pink,https://genius.com/P-nk-who-knew-lyrics,took hand showed promised around uh-huh right took word believed everything said yeah-huh right someone said three year long gone stand punch 'cause wrong know better 'cause said forever ever knew remember fool convinced cool oh wish could touch wish could still call friend give anything someone said count blessing 'fore long gone guess know wrong knew better still said forever ever knew keep locked head meet meet wo forget friend happened someone said three year long gone stand punch 'cause wrong last kiss cherish meet time make harder wish could remember keep memory visit sleep darling knew darling darling knew darling miss darling knew knew
70,"""Never Again""",Kelly Clarkson,https://genius.com/Kelly-clarkson-never-again-lyrics,hope ring gave turn finger green hope bed think would never wish bad thing wish well could tell flame burned word never read letter 'cause knew say give sunday school answer try make ok hurt know never bet suck see face everywhere chose end like last know knew exactly would say simply lost way may believe never never really know truth deserves trophy wife oh cute ignorance bliss day come die together alone wrote letter could say right face give sunday school answer repent away hurt know never bet suck see face everywhere chose end like last know knew exactly would say simply lost way may believe never never never hear never miss never fall never never kiss never want never love never hurt know never bet suck see face everywhere chose end like last know knew exactly would say simply lost way may believe never never never never
