Title,Artist,UG_link
"""Kiss Me More""",Doja Cat featuring SZA,https://tabs.ultimate-guitar.com/tab/doja-cat/kiss-me-more-chords-3653072
"""She Likes It""",Russell Dickerson featuring Jake Scott,https://tabs.ultimate-guitar.com/tab/russell-dickerson/she-likes-it-chords-4106938
"""Never Say Never""",Cole Swindell and Lainey Wilson,https://tabs.ultimate-guitar.com/tab/randy-travis/forever-and-ever-amen-chords-87134
"""Damn Strait""",Scotty McCreery,https://tabs.ultimate-guitar.com/tab/scotty-mccreery/damn-strait-chords-3864785
"""She's All I Wanna Be""",Tate McRae,https://tabs.ultimate-guitar.com/tab/tate-mcrae/shes-all-i-wanna-be-chords-4057585
"""Last Night Lonely""",Jon Pardi,https://tabs.ultimate-guitar.com/tab/jon-pardi/last-night-lonely-chords-4077646
"""Flower Shops""",Ernest featuring Morgan Wallen,https://tabs.ultimate-guitar.com/tab/ernest/flower-shops-chords-3818138
"""To the Moon""",Jnr Choi and Sam Tompkins,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords-327721
"""Unholy""",Sam Smith and Kim Petras,https://tabs.ultimate-guitar.com/tab/misc-mashups/sam-smith-unholy-gayle-abcdefu-ruth-b-dandelions-elvis-presley-cant-help-falling-chords-4596689
"""One Mississippi""",Kane Brown,https://tabs.ultimate-guitar.com/tab/kane-brown/one-mississippi-chords-3840545
"""Circles Around This Town""",Maren Morris,https://tabs.ultimate-guitar.com/tab/maren-morris/circles-around-this-town-chords-4018636
