No.,Title,Artist,Tempo
56,"""Do It to It""",Cherish featuring Sean Paul of the YoungBloodZ,    74  BPM 
57,"""Black Horse and the Cherry Tree""",KT Tunstall,    105  BPM 
58,"""There It Go (The Whistle Song)""",Juelz Santana,    100  BPM 
59,"""Shoulder Lean""",Young Dro featuring T.I.,    76  BPM 
60,"""Unpredictable""",Jamie Foxx featuring Ludacris,NOT FOUND
61,"""My Love""",Justin Timberlake featuring T.I.,    120  BPM 
62,"""Shake That""",Eminem featuring Nate Dogg,    107  BPM 
63,"""Pullin' Me Back""",Chingy featuring Tyrese,    80  BPM 
64,"""Bossy""",Kelis featuring Too Short,    168  BPM 
65,"""Chain Hang Low""",Jibbs,    137  BPM 
66,"""Smack That""",Akon featuring Eminem,    119  BPM 
67,"""One Wish""",Ray J,    128  BPM 
68,"""Sugar, We're Goin Down""",Fall Out Boy,    162  BPM 
69,"""Gimme That""",Chris Brown featuring Lil Wayne,    175  BPM 
70,"""I Know You See It""",Yung Joc,    84  BPM 
71,"""Who Says You Can't Go Home""",Bon Jovi featuring Jennifer Nettles,    132  BPM 
72,"""Too Little Too Late""",JoJo,NOT FOUND
73,"""Touch It""",Busta Rhymes,    126  BPM 
74,"""Rompe""",Daddy Yankee,    88  BPM 
75,"""Déjà Vu""",Beyoncé featuring Jay-Z,NOT FOUND
76,"""Life Is a Highway""",Rascal Flatts,    103  BPM 
77,"""Call Me When You're Sober""",Evanescence,    93  BPM 
78,"""Jesus, Take the Wheel""",Carrie Underwood,    152  BPM 
79,"""Show Stopper""",Danity Kane featuring Yung Joc,    76  BPM 
80,"""Get Up""",Ciara featuring Chamillionaire,    129  BPM 
81,"""We Be Burnin'""",Sean Paul,    120  BPM 
82,"""Hate Me""",Blue October,    170  BPM 
83,"""You and Me""",Lifehouse,    140  BPM 
84,"""Beep""",Pussycat Dolls featuring will.i.am,NOT FOUND
85,"""I Think They Like Me""","Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow",NOT FOUND
86,"""Say Goodbye""",Chris Brown,    115  BPM 
87,"""Waiting on the World to Change""",John Mayer,    177  BPM 
88,"""Soul Survivor""",Young Jeezy featuring Akon,NOT FOUND
89,"""Pump It""",The Black Eyed Peas,    154  BPM 
90,"""When I'm Gone""",Eminem,    150  BPM 
91,"""Hung Up""",Madonna,    125  BPM 
92,"""Stay Fly""",Three 6 Mafia featuring Young Buck and 8Ball & MJG,    133  BPM 
93,"""Love""",Keyshia Cole,    117  BPM 
94,"""When You're Mad""",Ne-Yo,    87  BPM 
95,"""Why You Wanna""",T.I.,    96  BPM 
96,"""Stupid Girls""",Pink,NOT FOUND
97,"""Feel Good Inc.""",Gorillaz,    139  BPM 
98,"""I'm Sprung""",T-Pain,    99  BPM 
99,"""Do I Make You Proud""",Taylor Hicks,    144  BPM 
100,"""For You I Will (Confidence)""",Teddy Geiger,    180  BPM 
