No.,Title,Artist,Tempo
37,"""Break Free""",Ariana Grande featuring Zedd,    130  BPM 
38,"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona,NOT FOUND
39,"""Burn""",Ellie Goulding,    87  BPM 
40,"""Wiggle""",Jason Derulo featuring Snoop Dogg,NOT FOUND
41,"""Rather Be""",Clean Bandit featuring Jess Glynne,NOT FOUND
42,"""Don't Tell 'Em""",Jeremih featuring YG,    98  BPM 
43,"""Show Me""",Kid Ink featuring Chris Brown,    98  BPM 
44,"""Wrecking Ball""",Miley Cyrus,    120  BPM 
45,"""Not a Bad Thing""",Justin Timberlake,    86  BPM 
46,"""Roar""",Katy Perry,    90  BPM 
47,"""Ain't It Fun""",Paramore,    104  BPM 
48,"""The Man""",Aloe Blacc,    82  BPM 
49,"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan,    132  BPM 
50,"""Classic""",MKTO,    102  BPM 
51,"""A Sky Full of Stars""",Coldplay,    125  BPM 
52,"""Don't""",Ed Sheeran,    95  BPM 
53,"""Na Na""",Trey Songz,    97  BPM 
54,"""Hot Boy""",Bobby Shmurda,    84  BPM 
55,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,    100  BPM 
56,"""Sing""",Ed Sheeran,    120  BPM 
57,"""Radioactive""",Imagine Dragons,    140  BPM 
58,"""My Hitta""",YG featuring Jeezy and Rich Homie Quan,    86  BPM 
59,"""Cool Kids""",Echosmith,    130  BPM 
60,"""Hey Brother""",Avicii,    125  BPM 
61,"""Trumpets""",Jason Derulo,    82  BPM 
62,"""Animals""",Maroon 5,    190  BPM 
63,"""Burnin' It Down""",Jason Aldean,    91  BPM 
64,"""Play It Again""",Luke Bryan,    144  BPM 
65,"""2 On""",Tinashe featuring ScHoolboy Q,NOT FOUND
66,"""Dirt""",Florida Georgia Line,    122  BPM 
67,"""Love Runs Out""",OneRepublic,    120  BPM 
68,"""Bottoms Up""",Brantley Gilbert,    170  BPM 
69,"""Shower""",Becky G,    120  BPM 
70,"""Me and My Broken Heart""",Rixton,    174  BPM 
71,"""Animals""",Martin Garrix,    128  BPM 
72,"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,    88  BPM 
73,"""American Kids""",Kenny Chesney,    85  BPM 
74,"""Brave""",Sara Bareilles,    185  BPM 
75,"""Sweater Weather""",The Neighbourhood,    124  BPM 
76,"""Leave the Night On""",Sam Hunt,    172  BPM 
77,"""New Flame""",Chris Brown featuring Usher and Rick Ross,    142  BPM 
78,"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,    117  BPM 
79,"""Drunk on a Plane""",Dierks Bentley,    206  BPM 
80,"""Birthday""",Katy Perry,    126  BPM 
81,"""Bartender""",Lady Antebellum,NOT FOUND
82,"""La La La""",Naughty Boy featuring Sam Smith,    125  BPM 
83,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,    120  BPM 
84,"""Do What U Want""",Lady Gaga featuring R. Kelly,    98  BPM 
85,"""Can't Remember to Forget You""",Shakira featuring Rihanna,    138  BPM 
86,"""Amnesia""",5 Seconds of Summer,    102  BPM 
87,"""No Mediocre""",T.I. featuring Iggy Azalea,    95  BPM 
88,"""Come with Me Now""",KONGOS,    104  BPM 
89,"""Believe Me""",Lil Wayne featuring Drake,    92  BPM 
90,"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",NOT FOUND
91,"""Beachin'""",Jake Owen,    182  BPM 
92,"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,NOT FOUND
93,"""She Looks So Perfect""",5 Seconds of Summer,    160  BPM 
94,"""Stay the Night""",Zedd featuring Hayley Williams,    128  BPM 
95,"""Partition""",Beyoncé,    176  BPM 
96,"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,    134  BPM 
97,"""0 to 100 / The Catch Up""",Drake,NOT FOUND
98,"""I Don't Dance""",Lee Brice,    92  BPM 
99,"""Somethin' Bad""",Miranda Lambert and Carrie Underwood,NOT FOUND
100,"""Adore You""",Miley Cyrus,    120  BPM 
