No.,Title,Artist,Tempo
37,"""You Broke Me First""",Tate McRae,    124  BPM 
38,"""Traitor""",Olivia Rodrigo,NOT FOUND
39,"""Back in Blood""",Pooh Shiesty featuring Lil Durk,NOT FOUND
40,"""I Hope""",Gabby Barrett featuring Charlie Puth,    75  BPM 
41,"""Dynamite""",BTS,    114  BPM 
42,"""Wockesha""",Moneybagg Yo,NOT FOUND
43,"""You Right""",Doja Cat and the Weeknd,NOT FOUND
44,"""Beat Box 2"" / ""Beat Box 3""",SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby,NOT FOUND
45,"""Laugh Now Cry Later""",Drake featuring Lil Durk,NOT FOUND
46,"""Need to Know""",Doja Cat,NOT FOUND
47,"""Wants and Needs""",Drake featuring Lil Baby,NOT FOUND
48,"""Way 2 Sexy""",Drake featuring Future and Young Thug,NOT FOUND
49,"""Telepatía""",Kali Uchis,NOT FOUND
50,"""Whoopty""",CJ,    140  BPM 
51,"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,    140  BPM 
52,"""Good Days""",SZA,    121  BPM 
53,"""Starting Over""",Chris Stapleton,    89  BPM 
54,"""Body""",Megan Thee Stallion,    94  BPM 
55,"""Willow""",Taylor Swift,    81  BPM 
56,"""Bang!""",AJR,    140  BPM 
57,"""Better Together""",Luke Combs,    138  BPM 
58,"""You're Mines Still""",Yung Bleu featuring Drake,    82  BPM 
59,"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,NOT FOUND
60,"""Essence""",Wizkid featuring Justin Bieber and Tems,    104  BPM 
61,"""Chasing After You""",Ryan Hurd and Maren Morris,NOT FOUND
62,"""The Good Ones""",Gabby Barrett,    90  BPM 
63,"""Leave Before You Love Me""",Marshmello and Jonas Brothers,NOT FOUND
64,"""Glad You Exist""",Dan + Shay,    104  BPM 
65,"""Lonely""",Justin Bieber and Benny Blanco,    79  BPM 
66,"""Beggin'""",Måneskin,    134  BPM 
67,"""Streets""",Doja Cat,    90  BPM 
68,"""What's Next""",Drake,NOT FOUND
69,"""Famous Friends""",Chris Young and Kane Brown,    102  BPM 
70,"""Lil Bit""",Nelly and Florida Georgia Line,    120  BPM 
71,"""Thot Shit""",Megan Thee Stallion,NOT FOUND
72,"""Late at Night""",Roddy Ricch,NOT FOUND
73,"""Kings & Queens""",Ava Max,    130  BPM 
74,"""Anyone""",Justin Bieber,    116  BPM 
75,"""Track Star""",Mooski,    133  BPM 
76,"""Time Today""",Moneybagg Yo,    137  BPM 
77,"""Cry Baby""",Megan Thee Stallion featuring DaBaby,NOT FOUND
78,"""All I Want for Christmas Is You""",Mariah Carey,    150  BPM 
79,"""No More Parties""",Coi Leray featuring Lil Durk,    157  BPM 
80,"""What's Your Country Song""",Thomas Rhett,    174  BPM 
81,"""One Too Many""",Keith Urban and Pink,    83  BPM 
82,"""Arcade""",Duncan Laurence,    72  BPM 
83,"""Yonaguni""",Bad Bunny,NOT FOUND
84,"""Good Time""",Niko Moon,    138  BPM 
85,"""If I Didn't Love You""",Jason Aldean and Carrie Underwood,NOT FOUND
86,"""Knife Talk""",Drake featuring 21 Savage and Project Pat,NOT FOUND
87,"""POV""",Ariana Grande,    132  BPM 
88,"""Just the Way""",Parmalee and Blanco Brown,    90  BPM 
89,"""Take My Breath""",The Weeknd,NOT FOUND
90,"""We're Good""",Dua Lipa,    134  BPM 
91,"""Hell of a View""",Eric Church,    99  BPM 
92,"""Rockin' Around the Christmas Tree""",Brenda Lee,    71  BPM 
93,"""Put Your Records On""",Ritt Momney,    91  BPM 
94,"""Happier Than Ever""",Billie Eilish,NOT FOUND
95,"""Single Saturday Night""",Cole Swindell,    82  BPM 
96,"""Things a Man Oughta Know""",Lainey Wilson,    140  BPM 
97,"""Throat Baby (Go Baby)""",BRS Kash,    132  BPM 
98,"""Tombstone""",Rod Wave,NOT FOUND
99,"""Drinkin' Beer. Talkin' God. Amen.""",Chase Rice featuring Florida Georgia Line,NOT FOUND
100,"""Todo de Ti""",Rauw Alejandro,NOT FOUND
