No.,Title,Artist,Tempo
53,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,    126  BPM 
54,"""All the Right Moves""",OneRepublic,    146  BPM 
55,"""According to You""",Orianthi,    131  BPM 
56,"""My Chick Bad""",Ludacris featuring Nicki Minaj,    85  BPM 
57,"""You Belong with Me""",Taylor Swift,    130  BPM 
58,"""Meet Me Halfway""",The Black Eyed Peas,    130  BPM 
59,"""Take It Off""",Kesha,    125  BPM 
60,"""Over""",Drake,    100  BPM 
61,"""Animal""",Neon Trees,    148  BPM 
62,"""Misery""",Maroon 5,    103  BPM 
63,"""Magic""",B.o.B featuring Rivers Cuomo,NOT FOUND
64,"""Paparazzi""",Lady Gaga,    115  BPM 
65,"""Tie Me Down""",New Boyz featuring Ray J,NOT FOUND
66,"""Your Love""",Nicki Minaj,    190  BPM 
67,"""Party in the U.S.A.""",Miley Cyrus,    192  BPM 
68,"""Deuces""",Chris Brown featuring Tyga and Kevin McCall,    74  BPM 
69,"""3""",Britney Spears,NOT FOUND
70,"""Impossible""",Shontelle,    90  BPM 
71,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem",    158  BPM 
72,"""Two Is Better Than One""",Boys Like Girls featuring Taylor Swift,    128  BPM 
73,"""My First Kiss""",3OH!3 featuring Kesha,    138  BPM 
74,"""Already Gone""",Kelly Clarkson,    78  BPM 
75,"""Rock That Body""",The Black Eyed Peas,    125  BPM 
76,"""Secrets""",OneRepublic,    148  BPM 
77,"""Naturally""",Selena Gomez & the Scene,    133  BPM 
78,"""Un-Thinkable (I'm Ready)""",Alicia Keys,    86  BPM 
79,"""All I Do Is Win""","DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",    150  BPM 
80,"""I Made It (Cash Money Heroes)""","Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",    121  BPM 
81,"""Stuck Like Glue""",Sugarland,    84  BPM 
82,"""Hey Daddy (Daddy's Home)""",Usher featuring Plies,    128  BPM 
83,"""There Goes My Baby""",Usher,    77  BPM 
84,"""Today Was a Fairytale""",Taylor Swift,    158  BPM 
85,"""Say Something""",Timbaland featuring Drake,NOT FOUND
86,"""Sweet Dreams""",Beyoncé,    122  BPM 
87,"""Use Somebody""",Kings of Leon,    137  BPM 
88,"""Undo It""",Carrie Underwood,    156  BPM 
89,"""Eenie Meenie""",Sean Kingston and Justin Bieber,    121  BPM 
90,"""Right Above It""",Lil Wayne featuring Drake,    72  BPM 
91,"""The House That Built Me""",Miranda Lambert,    81  BPM 
92,"""If I Die Young""",The Band Perry,    131  BPM 
93,"""The Only Exception""",Paramore,    138  BPM 
94,"""American Honey""",Lady Antebellum,    86  BPM 
95,"""King of Anything""",Sara Bareilles,    121  BPM 
96,"""Life After You""",Daughtry,    154  BPM 
97,"""Smile""",Uncle Kracker,    141  BPM 
98,"""Teach Me How to Dougie""",Cali Swag District,    85  BPM 
99,"""Try Sleeping with a Broken Heart""",Alicia Keys,    111  BPM 
100,"""Lover, Lover""",Jerrod Niemann,    112  BPM 
