No.,Title,Artist,Tempo
76,"""Carry On""",Fun,NOT FOUND
77,"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,    158  BPM 
78,"""That's My Kind of Night""",Luke Bryan,    110  BPM 
79,"""Swimming Pools (Drank)""",Kendrick Lamar,    74  BPM 
80,"""Sure Be Cool If You Did""",Blake Shelton,    137  BPM 
81,"""#Beautiful""",Mariah Carey featuring Miguel,NOT FOUND
82,"""Troublemaker""",Olly Murs featuring Flo Rida,    106  BPM 
83,"""Body Party""",Ciara,    134  BPM 
84,"""Adorn""",Miguel,    179  BPM 
85,"""Hall of Fame""",The Script featuring will.i.am,    85  BPM 
86,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,    125  BPM 
87,"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross,NOT FOUND
88,"""Next to Me""",Emeli Sandé,    95  BPM 
89,"""Mama's Broken Heart""",Miranda Lambert,    112  BPM 
90,"""It Goes Like This""",Thomas Rhett,    168  BPM 
91,"""Bugatti""",Ace Hood featuring Future and Rick Ross,    130  BPM 
92,"""Wanted""",Hunter Hayes,    170  BPM 
93,"""Downtown""",Lady Antebellum,    170  BPM 
94,"""Get Your Shine On""",Florida Georgia Line,    97  BPM 
95,"""#thatPower""",will.i.am featuring Justin Bieber,NOT FOUND
96,"""Brave""",Sara Bareilles,    185  BPM 
97,"""Let Her Go""",Passenger,    75  BPM 
98,"""Runnin' Outta Moonlight""",Randy Houser,    172  BPM 
99,"""I'm Different""",2 Chainz,    98  BPM 
100,"""Still Into You""",Paramore,    136  BPM 
