No.,Title,Artist,Tempo
82,"""Remind Me""",Brad Paisley and Carrie Underwood,    141  BPM 
83,"""In the Dark""",Dev,    125  BPM 
84,"""Backseat""",New Boyz featuring The Cataracs and Dev,    125  BPM 
85,"""Headlines""",Drake,    152  BPM 
86,"""Best Thing I Never Had""",Beyoncé,    99  BPM 
87,"""Don't Wanna Go Home""",Jason Derulo,    122  BPM 
88,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj,NOT FOUND
89,"""She Ain't You""",Chris Brown,    91  BPM 
90,"""Take a Back Road""",Rodney Atkins,    170  BPM 
91,"""Please Don't Go""",Mike Posner,    120  BPM 
92,"""Sure Thing""",Miguel,    81  BPM 
93,"""Price Tag""",Jessie J featuring B.o.B,    175  BPM 
94,"""God Gave Me You""",Blake Shelton,    152  BPM 
95,"""She Will""",Lil Wayne featuring Drake,    100  BPM 
96,"""Are You Gonna Kiss Me or Not""",Thompson Square,    152  BPM 
97,"""Animal""",Neon Trees,    148  BPM 
98,"""You and Tequila""",Kenny Chesney featuring Grace Potter,    136  BPM 
99,"""Colder Weather""",Zac Brown Band,    136  BPM 
100,"""My Last""",Big Sean featuring Chris Brown,    79  BPM 
