No.,Title,Artist,Tempo
50,"""Lies Lies Lies""",Morgan Wallen,NOT FOUND
51,"""Type Shit""","Future, Metro Boomin, Travis Scott, and Playboi Carti",NOT FOUND
52,"""Gata Only""",FloyyMenor and Cris MJ,NOT FOUND
53,"""Hot to Go!""",Chappell Roan,NOT FOUND
54,"""All I Want for Christmas Is You""",Mariah Carey,150  BPM
55,"""Get It Sexyy""",Sexyy Red,NOT FOUND
56,"""Made for Me""",Muni Long,NOT FOUND
57,"""Vampire""",Olivia Rodrigo,NOT FOUND
58,"""Whatever She Wants""",Bryson Tiller,NOT FOUND
59,"""Rockin' Around the Christmas Tree""",Brenda Lee,71  BPM
60,"""Pretty Little Poison""",Warren Zeiders,NOT FOUND
61,"""First Person Shooter""",Drake featuring J. Cole,NOT FOUND
62,"""Die with a Smile""",Lady Gaga and Bruno Mars,NOT FOUND
63,"""I Like the Way You Kiss Me""",Artemas,NOT FOUND
64,"""Need a Favor""",Jelly Roll,NOT FOUND
65,"""Save Me""",Jelly Roll featuring Lainey Wilson,83  BPM
66,"""Euphoria""",Kendrick Lamar,NOT FOUND
67,"""Truck Bed""",Hardy,NOT FOUND
68,"""Jingle Bell Rock""",Bobby Helms,119  BPM
69,"""Flowers""",Miley Cyrus,NOT FOUND
70,"""Where the Wild Things Are""",Luke Combs,NOT FOUND
71,"""Everybody""",Nicki Minaj featuring Lil Uzi Vert,NOT FOUND
72,"""La Diabla""",Xavi,NOT FOUND
73,"""Stargazing""",Myles Smith,NOT FOUND
74,"""Last Christmas""",Wham!,NOT FOUND
75,"""I Am Not Okay""",Jelly Roll,NOT FOUND
76,"""Pour Me a Drink""",Post Malone featuring Blake Shelton,NOT FOUND
77,"""White Horse""",Chris Stapleton,NOT FOUND
78,"""Lil Boo Thang""",Paul Russell,NOT FOUND
79,"""Good Good""","Usher, Summer Walker and 21 Savage",NOT FOUND
80,"""Act II: Date @ 8""",4Batz and Drake,NOT FOUND
81,"""High Road""",Koe Wetzel featuring Jessie Murph,NOT FOUND
82,"""Monaco""",Bad Bunny,NOT FOUND
83,"""IDGAF""",Drake featuring Yeat,NOT FOUND
84,"""Burn It Down""",Parker McCollum,NOT FOUND
85,"""FukUMean""",Gunna,NOT FOUND
86,"""Taste""",Sabrina Carpenter,NOT FOUND
87,"""Where It Ends""",Bailey Zimmerman,NOT FOUND
88,"""FTCU""",Nicki Minaj,NOT FOUND
89,"""Wildflower""",Billie Eilish,NOT FOUND
90,"""World on Fire""",Nate Smith,NOT FOUND
91,"""On My Mama""",Victoria Monét,NOT FOUND
92,"""Yes, And?""",Ariana Grande,NOT FOUND
93,"""Exes""",Tate McRae,NOT FOUND
94,"""A Holly Jolly Christmas""",Burl Ives,94  BPM
95,"""Wind Up Missin' You""",Tucker Wetmore,NOT FOUND
96,"""Bulletproof""",Nate Smith,NOT FOUND
97,"""Fe!n""",Travis Scott featuring Playboi Carti,NOT FOUND
98,"""The Painter""",Cody Johnson,NOT FOUND
99,"""Down Bad""",Taylor Swift,NOT FOUND
100,"""Dance the Night""",Dua Lipa,NOT FOUND
