No.,Title,Artist,Tempo
86,"""Ayo""",Chris Brown and Tyga,    98  BPM 
87,"""Kick the Dust Up""",Luke Bryan,    172  BPM 
88,"""Blessings""",Big Sean featuring Drake and Kanye West,    119  BPM 
89,"""Budapest""",George Ezra,    128  BPM 
90,"""Chandelier""",Sia,    117  BPM 
91,"""Heartbeat Song""",Kelly Clarkson,    149  BPM 
92,"""Don't""",Ed Sheeran,    95  BPM 
93,"""Ghost""",Ella Henderson,    105  BPM 
94,"""Here""",Alessia Cara,    120  BPM 
95,"""Waves (Robin Schulz Remix)""",Mr Probz,NOT FOUND
96,"""El Perdón""",Nicky Jam and Enrique Iglesias,NOT FOUND
97,"""She Knows""",Ne-Yo featuring Juicy J,    140  BPM 
98,"""Night Changes""",One Direction,    120  BPM 
99,"""Back to Back""",Drake,    87  BPM 
100,"""How Deep Is Your Love""",Calvin Harris and Disciples,    122  BPM 
