No.,Title,Artist,Top_Tags
57,"""Radioactive""",Imagine Dragons,"indie, indie rock, alternative"
58,"""My Hitta""",YG featuring Jeezy and Rich Homie Quan,"Hip-Hop, rap, west coast"
59,"""Cool Kids""",Echosmith,"indie, indie pop, pop"
60,"""Hey Brother""",Avicii,"House, electronic, dance"
61,"""Trumpets""",Jason Derulo,"rnb, pop, male vocalists"
62,"""Animals""",Maroon 5,"rock, pop, pop rock"
63,"""Burnin' It Down""",Jason Aldean,"country, modern country, Jason Aldean"
64,"""Play It Again""",Luke Bryan,"country, new country, modern country"
65,"""2 On""",Tinashe featuring ScHoolboy Q,"rnb, pop, soul"
66,"""Dirt""",Florida Georgia Line,"country, country rock, male vocalists"
67,"""Love Runs Out""",OneRepublic,"rock, pop rock, alternative"
68,"""Bottoms Up""",Brantley Gilbert,"country, male vocalists, country rock"
69,"""Shower""",Becky G,"pop, rap, female vocalists"
70,"""Me and My Broken Heart""",Rixton,"pop, british, pop rock"
71,"""Animals""",Martin Garrix,"House, electronic, dance"
72,"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,"Hip-Hop, rap, Dirty South"
73,"""American Kids""",Kenny Chesney,"country, Kenny Chesney, modern country"
74,"""Brave""",Sara Bareilles,"female vocalists, pop, singer-songwriter"
75,"""Sweater Weather""",The Neighbourhood,"indie, indie rock, indie pop"
76,"""Leave the Night On""",Sam Hunt,"country, pop, not country"
77,"""New Flame""",Chris Brown featuring Usher and Rick Ross,"rnb, Hip-Hop, Chris Brown"
78,"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,"pop, funk, Disco"
79,"""Drunk on a Plane""",Dierks Bentley,"country, modern country, dierks bentley"
80,"""Birthday""",Katy Perry,"pop, female vocalists, pop rock"
81,"""Bartender""",Lady Antebellum,"country, modern country, country pop"
82,"""La La La""",Naughty Boy featuring Sam Smith,"rnb, electronic, House"
83,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,"soul, rnb, pop"
84,"""Do What U Want""",Lady Gaga featuring R. Kelly,"pop, dance, electronic"
85,"""Can't Remember to Forget You""",Shakira featuring Rihanna,"pop, latin, female vocalists"
86,"""Amnesia""",5 Seconds of Summer,"pop rock, pop punk, rock"
87,"""No Mediocre""",T.I. featuring Iggy Azalea,"Hip-Hop, rap, Dirty South"
88,"""Come with Me Now""",KONGOS,"rock, alternative rock, folk"
89,"""Believe Me""",Lil Wayne featuring Drake,"rap, Hip-Hop, Dirty South"
90,"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J","Hip-Hop, rap, trap"
91,"""Beachin'""",Jake Owen,"country, modern country, male vocalists"
92,"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,"Hip-Hop, rap, underground rap"
93,"""She Looks So Perfect""",5 Seconds of Summer,"pop rock, pop punk, rock"
94,"""Stay the Night""",Zedd featuring Hayley Williams,"electronic, electro house, House"
95,"""Partition""",Beyoncé,"rnb, pop, female vocalists"
96,"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,"Hip-Hop, rap, underground hip-hop"
97,"""0 to 100 / The Catch Up""",Drake,"Hip-Hop, rap, rnb"
98,"""I Don't Dance""",Lee Brice,"country, singer-songwriter, Lee Brice"
99,"""Somethin' Bad""",Miranda Lambert and Carrie Underwood,Unknown
100,"""Adore You""",Miley Cyrus,"pop, female vocalists, Disney"
