No.,Title,Artist,Top_Tags
68,"""Chains""",Nick Jonas,"pop, pop rock, jonas brothers"
69,"""All Eyes on You""",Meek Mill featuring Chris Brown and Nicki Minaj,"Hip-Hop, rap, hip hop"
70,"""No Type""",Rae Sremmurd,"Hip-Hop, rap, hip hop"
71,"""Riptide""",Vance Joy,"folk, indie, singer-songwriter"
72,"""Classic Man""",Jidenna featuring Roman GianArthur,"rnb, Hip-Hop, rap"
73,"""Ex's & Oh's""",Elle King,"indie pop, rock, female vocalists"
74,"""Dear Future Husband""",Meghan Trainor,"pop, female vocalists, soul"
75,"""Marvin Gaye""",Charlie Puth featuring Meghan Trainor,"pop, rnb, soul"
76,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,"pop, female vocalists, soul"
77,"""Habits (Stay High)""",Tove Lo,"pop, swedish, electronic"
78,"""The Hanging Tree""",James Newton Howard featuring Jennifer Lawrence,"Soundtrack, instrumental, composer"
79,"""CoCo""",O.T. Genasis,"Hip-Hop, rap, trap"
80,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj","pop, british, female vocalists"
81,"""Lay Me Down""",Sam Smith,"soul, pop, british"
82,"""Tuesday""",ILoveMakonnen featuring Drake,"Hip-Hop, rap, seen live"
83,"""Hit the Quan""",iLoveMemphis,"Crunk, rap, Hip-Hop"
84,"""Downtown""","Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster 
Caz","Hip-Hop, rap, underground rap"
85,"""House Party""",Sam Hunt,"country, pop, not country"
86,"""Ayo""",Chris Brown and Tyga,"Hip-Hop, rap, rnb"
87,"""Kick the Dust Up""",Luke Bryan,"country, new country, modern country"
88,"""Blessings""",Big Sean featuring Drake and Kanye West,"Hip-Hop, rap, hip hop"
89,"""Budapest""",George Ezra,"indie, folk, singer-songwriter"
90,"""Chandelier""",Sia,"female vocalists, chillout, indie"
91,"""Heartbeat Song""",Kelly Clarkson,"pop, female vocalists, pop rock"
92,"""Don't""",Ed Sheeran,"acoustic, british, singer-songwriter"
93,"""Ghost""",Ella Henderson,"pop, british, soul"
94,"""Here""",Alessia Cara,"pop, soul, rnb"
95,"""Waves (Robin Schulz Remix)""",Mr Probz,"Hip-Hop, dutch, rap"
96,"""El Perdón""",Nicky Jam and Enrique Iglesias,Unknown
97,"""She Knows""",Ne-Yo featuring Juicy J,"rnb, soul, Hip-Hop"
98,"""Night Changes""",One Direction,"pop, british, one direction"
99,"""Back to Back""",Drake,"Hip-Hop, rap, rnb"
100,"""How Deep Is Your Love""",Calvin Harris and Disciples,Unknown
