No.,Title,Artist,Top_Tags
56,"""Right Now (Na Na Na)""",Akon,"Hip-Hop, rnb, rap"
57,"""Battlefield""",Jordin Sparks,"pop, rnb, female vocalists"
58,"""Sugar""",Flo Rida featuring Wynter,"Hip-Hop, rap, hip hop"
59,"""Miss Independent""",Ne-Yo,"rnb, soul, Hip-Hop"
60,"""Fireflies""",Owl City,love at first listening
61,"""New Divide""",Linkin Park,"rock, alternative rock, Nu Metal"
62,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,"Hip-Hop, rap, hip hop"
63,"""No Surprise""",Daughtry,"rock, alternative rock, alternative"
64,"""She Wolf""",Shakira,"pop, Shakira, dance"
65,"""Break Up""",Mario featuring Gucci Mane and Sean Garrett,Unknown
66,"""Sweet Dreams""",Beyoncé,"rnb, pop, female vocalists"
67,"""Every Girl""",Young Money,"Hip-Hop, rap, young money"
68,"""Fallin' for You""",Colbie Caillat,"female vocalists, pop, acoustic"
69,"""Untouched""",The Veronicas,"pop rock, pop, female vocalists"
70,"""If Today Was Your Last Day""",Nickelback,"rock, alternative rock, hard rock"
71,"""Throw It in the Bag""",Fabolous featuring The-Dream,"Hip-Hop, rap, hip hop"
72,"""Love Drunk""",Boys Like Girls,"pop punk, alternative, rock"
73,"""I Love College""",Asher Roth,"Hip-Hop, rap, underground hip-hop"
74,"""If U Seek Amy""",Britney Spears,"pop, dance, female vocalists"
75,"""Big Green Tractor""",Jason Aldean,"country, modern country, Jason Aldean"
76,"""White Horse""",Taylor Swift,"country, pop, female vocalists"
77,"""Disturbia""",Rihanna,"pop, rnb, female vocalists"
78,"""21 Guns""",Green Day,"punk rock, rock, alternative rock"
79,"""Turn My Swag On""",Soulja Boy Tell 'Em,"Hip-Hop, rap, Crunk"
80,"""Rockin' That Thang""",The-Dream,"rnb, r&b, male vocalists"
81,"""Chicken Fried""",Zac Brown Band,"country, modern country, zac brown band"
82,"""Diva""",Beyoncé,"rnb, pop, female vocalists"
83,"""Replay""",Iyaz,"rnb, Hip-Hop, pop"
84,"""Then""",Brad Paisley,"country, modern country, brad paisley"
85,"""Her Diamonds""",Rob Thomas,"pop, rock, alternative"
86,"""How Do You Sleep?""",Jesse McCartney featuring Ludacris,"pop, Jesse McCartney, pop rock"
87,"""3""",Britney Spears,"pop, dance, female vocalists"
88,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem","Hip-Hop, Kanye West, Eminem"
89,"""One Time""",Justin Bieber,"pop, black metal, justin bieber"
90,"""I Run to You""",Lady Antebellum,"country, modern country, country pop"
91,"""I Do Not Hook Up""",Kelly Clarkson,"pop, female vocalists, pop rock"
92,"""Green Light""",John Legend featuring André 3000,Unknown
93,"""People Are Crazy""",Billy Currington,"country, billy currington, modern country"
94,"""Whatever It Is""",Zac Brown Band,"country, modern country, zac brown band"
95,"""Already Gone""",Kelly Clarkson,"pop, female vocalists, pop rock"
96,"""Goodbye""",Kristinia DeBarge,"pop, rnb, female vocalists"
97,"""Say Hey (I Love You)""",Michael Franti & Spearhead featuring Cherine Anderson,"reggae, Hip-Hop, funk"
98,"""Pop Champagne""",Jim Jones featuring Ron Browz and Juelz Santana,Unknown
99,"""Pretty Wings""",Maxwell,"soul, Neo-Soul, rnb"
100,"""Never Say Never""",The Fray,"alternative, rock, piano rock"
