No.,Title,Artist,Top_Tags
50,"""Beautiful People""",Ed Sheeran featuring Khalid,"acoustic, british, singer-songwriter"
51,"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black","Hip-Hop, rap, trap"
52,"""Whiskey Glasses""",Morgan Wallen,"country, racist, country pop"
53,"""God's Country""",Blake Shelton,"country, modern country, Blake Shelton"
54,"""Be Alright""",Dean Lewis,"indie, pop, australian"
55,"""Pure Water""",Mustard and Migos,Unknown
56,"""The Git Up""",Blanco Brown,"country, Hip-Hop, pop"
57,"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B","electronic, trap, dance"
58,"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,Unknown
59,"""Envy Me""",Calboy,"Hip-Hop, rap, hip hop"
60,"""You Say""",Lauren Daigle,"pop, soul, christian"
61,"""Hey Look Ma, I Made It""",Panic! at the Disco,"rock, alternative, emo"
62,"""Circles""",Post Malone,"Hip-Hop, rap, trap"
63,"""Beer Never Broke My Heart""",Luke Combs,"country, contemporary country, seen live"
64,"""The London""","Young Thug, J. Cole and Travis Scott","trap, Hip-Hop, rap"
65,"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow,Unknown
66,"""Murder on My Mind""",YNW Melly,"trap, rap, Hip-Hop"
67,"""When the Party's Over""",Billie Eilish,"pop, indie pop, seen live"
68,"""Act Up""",City Girls,"rap, Hip-Hop, trap"
69,"""I Like It""","Cardi B, Bad Bunny and J Balvin","Hip-Hop, rap, trap"
70,"""Trampoline""",Shaed,"electronic, pop, soul"
71,"""Leave Me Alone""",Flipp Dinero,"rap, trap, Hip-Hop"
72,"""Breathin""",Ariana Grande,"pop, rnb, female vocalists"
73,"""Bury a Friend""",Billie Eilish,"pop, indie pop, seen live"
74,"""Close Friends""",Lil Baby,"rap, Hip-Hop, hip hop"
75,"""Baby Shark""",Pinkfong,"Brutal Death Metal, grindcore, kids"
76,"""My Type""",Saweetie,"better than selena gomez, urban, Hip-Hop"
77,"""Worth It""",YK Osiris,"Hip-Hop, soul, rap"
78,"""Only Human""",Jonas Brothers,"pop, pop rock, Disney"
79,"""Knockin' Boots""",Luke Bryan,"country, new country, modern country"
80,"""Trip""",Ella Mai,"rnb, soul, british"
81,"""Rumor""",Lee Brice,"country, singer-songwriter, Lee Brice"
82,"""Swervin""",A Boogie wit da Hoodie featuring 6ix9ine,"rap, Hip-Hop, hip hop"
83,"""How Do You Sleep?""",Sam Smith,"soul, pop, british"
84,"""Baby""",Lil Baby and DaBaby,Unknown
85,"""Look What God Gave Her""",Thomas Rhett,"country, male vocalists, contemporary country"
86,"""Good as You""",Kane Brown,"country, country pop, beer"
87,"""Clout""",Offset featuring Cardi B,"trap, Hip-Hop, rap"
88,"""Love Lies""",Khalid and Normani,Unknown
89,"""One Thing Right""",Marshmello and Kane Brown,Unknown
90,"""Cash Shit""",Megan Thee Stallion featuring DaBaby,"rap, Hip-Hop, trap"
91,"""Tequila""",Dan + Shay,Unknown
92,"""Shotta Flow""",NLE Choppa,"trap, rap, Hip-Hop"
93,"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,"rap, Hip-Hop, trap"
94,"""Talk You Out of It""",Florida Georgia Line,"country, country rock, male vocalists"
95,"""Beautiful""",Bazzi featuring Camila Cabello,"rnb, pop, american"
96,"""Eyes on You""",Chase Rice,"country, seen live, country rock"
97,"""All to Myself""",Dan + Shay,Unknown
98,"""Boyfriend""",Ariana Grande and Social House,Unknown
99,"""Walk Me Home""",Pink,"pop, female vocalists, pop rock"
100,"""Robbery""",Juice Wrld,"Hip-Hop, rap, emo rap"
