Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Time Today""",Moneybagg Yo,not found,not found
"""Cry Baby""",Megan Thee Stallion featuring DaBaby,not found,not found
"""All I Want for Christmas Is You""",Mariah Carey,not found,not found
"""No More Parties""",Coi Leray featuring Lil Durk,not found,not found
"""What's Your Country Song""",Thomas Rhett,"(1, 6, 7, 3)","(4, -2, 7, -9)"
"""One Too Many""",Keith Urban and Pink,not found,not found
"""Arcade""",Duncan Laurence,"(1, 2, 7, 1)","(-2, 3, -1, 0)"
"""Yonaguni""",Bad Bunny,"(3, 5, 4, 1)","(5, -3, -4, 2)"
"""Good Time""",Niko Moon,"(7, 1)","(-10, 10)"
"""If I Didn't Love You""",Jason Aldean and Carrie Underwood,"(1, 2, 3, 5)","(-2, -2, -3, 7)"
"""Knife Talk""",Drake featuring 21 Savage and Project Pat,not found,not found
"""POV""",Ariana Grande,"(6, 5)","(-4, 7, -10, 10)"
"""Just the Way""",Parmalee and Blanco Brown,not found,not found
"""Take My Breath""",The Weeknd,not found,not found
"""We're Good""",Dua Lipa,"(4, 1)","(-5, 5)"
"""Hell of a View""",Eric Church,"(1, 1, 1, 1, 1, 4, 4)","(0, 0, 0, 0, -5, 0, 5)"
"""Rockin' Around the Christmas Tree""",Brenda Lee,"(5, 1, 5, 5)","(-5, 7, -11, 7, -5, 7, -5, 5, 0)"
"""Put Your Records On""",Ritt Momney,"(1, 2, 4, 1)","(-7, 0, -2, 9)"
"""Happier Than Ever""",Billie Eilish,"(0, 0, 0, 0)","(0, -3, 3)"
"""Single Saturday Night""",Cole Swindell,"(1, 5, 2, 3)","(-7, 5, -2, 4)"
"""Things a Man Oughta Know""",Lainey Wilson,"(1, 1, 6, 5, 4)","(2, 2, 5, 0, -9)"
"""Throat Baby (Go Baby)""",BRS Kash,"(1, 6, 3, 5, 6, 1, 3, 5)","(9, -2, -3, -4, 9, -5, 3, -7)"
"""Tombstone""",Rod Wave,not found,not found
"""Drinkin' Beer. Talkin' God. Amen.""",Chase Rice featuring Florida Georgia Line,"(4, 1, 5, 4, 6, 5)","(-4, 2, 2, -7)"
"""Todo de Ti""",Rauw Alejandro,"(1, 7, 5, 6)","(2, -9, -1, 8)"
