Title,Artist,Main_Harmony,Main_Interval_Harmony
"""See You Again""",Miley Cyrus,"(6, 3, 7)","(-5, -5, -2)"
"""Shake It""",Metro Station,"(1, 2, 4, 0)","(2, 3, 5, 2)"
"""Stop and Stare""",OneRepublic,"(1, 1, 6, 4)","(0, -3, -4, -5)"
"""Take You There""",Sean Kingston,"(1, 3, 6, 7)","(2, 2, 3, 5)"
"""Paper Planes""",M.I.A.,"(1, 5, 4)","(-5, -2, -5)"
"""Hot n Cold""",Katy Perry,not found,not found
"""Live Your Life""",T.I. featuring Rihanna,"(1, 3, 7, 6)","(3, -5, -2, 4)"
"""Bust It Baby (Part 2)""",Plies featuring Ne-Yo,not found,not found
"""American Boy""",Estelle featuring Kanye West,"(1, 0, 4)","(-4, -3, -5)"
"""Got Money""",Lil Wayne featuring T-Pain,not found,not found
"""Our Song""",Taylor Swift,"(2, 4, 5, 1)","(2, 3, 2, 5)"
"""Damaged""",Danity Kane,"(1, 4, 1, 2)","(-5, -4, 2, -5)"
"""A Milli""",Lil Wayne,not found,not found
"""Sorry""",Buckcherry,"(1, 5, 1, 5)","(-4, 4, -2, -5)"
"""Independent""",Webbie featuring Lil Boosie and Lil Phat,not found,not found
"""Can't Believe It""",T-Pain featuring Lil Wayne,not found,not found
"""Like You'll Never See Me Again""",Alicia Keys,"(4, 1, 2, 1)","(-2, -5, 2, -2)"
"""Teardrops on My Guitar""",Taylor Swift,"(1, 5, 6, 4)","(2, -4, -5, -5)"
"""When I Grow Up""",Pussycat Dolls,"(1, 7, 0, 6)","(-1, -1, -1, 3)"
"""Sexual Eruption""",Snoop Dogg,not found,not found
"""What You Got""",Colby O'Donis featuring Akon,"(0, 0, 1)","(-2, -2, 4)"
"""It's Not My Time""",3 Doors Down,"(6, 1)","(-5, -5, -2, 4, -4, 4, -4, 4, -4, 4, 0, -4, -5, -5, 0, -2)"
"""Better in Time""",Leona Lewis,not found,not found
"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,not found,not found
"""Shadow of the Day""",Linkin Park,"(3, 4, 1, 6)","(2, -5, -4, -5)"
"""Sweetest Girl (Dollar Bill)""","Wyclef Jean featuring Akon, Lil Wayne and Niia",not found,not found
"""Miss Independent""",Ne-Yo,"(1, 3, 1, 2)","(4, -4, 2, -2)"
"""Fall for You""",Secondhand Serenade,"(6, 7, 3, 1)","(2, -4, -5, -5)"
"""In the Ayer""",Flo Rida featuring will.i.am,not found,not found
"""Say""",John Mayer,not found,not found
"""One Step at a Time""",Jordin Sparks,"(4, 1, 7, 5)","(-2, -3, -2, -5)"
"""Hate That I Love You""",Rihanna featuring Ne-Yo,"(1, 2, 5, 1)","(2, 5, 5, 0)"
"""Superstar""",Lupe Fiasco featuring Matthew Santos,not found,not found
"""Suffocate""",J. Holiday,not found,not found
"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,"(4, 4, 1, 7, 4, 4, 5, 7, 4, 4, 5, 7, 4, 4, 1, 7)","(-5, 0, -5, -2, -5, 0, 2, 3, -5, 0, 2, 3, -5, 0, -5, -2)"
"""Get Like Me""",David Banner featuring Chris Brown and Yung Joc,not found,not found
"""Realize""",Colbie Caillat,"(5, 6, 4, 1)","(-5, 2, -4, -5)"
"""Put On""",Young Jeezy featuring Kanye West,not found,not found
"""The Time of My Life""",David Cook,not found,not found
"""Lolli Lolli (Pop That Body)""",Three 6 Mafia,not found,not found
"""Cyclone""",Baby Bash featuring T-Pain,not found,not found
"""Love Like This""",Natasha Bedingfield featuring Sean Kingston,"(1, 1, 4, 6, 4)","(0, 5, 4, -4)"
"""Burnin' Up""",Jonas Brothers,"(7, 6, 1, 3)","(-2, 4, 3, -5)"
"""Love Lockdown""",Kanye West,"(6, 1, 6)","(3, -3, 0)"
"""I Luv Your Girl""",The-Dream,not found,not found
"""Crush""",David Archuleta,not found,not found
"""Hypnotized""",Plies featuring Akon,not found,not found
"""Big Girls Don't Cry""",Fergie,"(1, 7, 1)","(-2, 2, 0)"
"""Good Life""",Kanye West featuring T-Pain,not found,not found
"""Womanizer""",Britney Spears,"(1, 4, 3, 2, 0)","(-1, -1, -1, 5, -2)"
"""Love Story""",Taylor Swift,"(5, 6, 4, 5, 1)","(2, -4, 2, 5)"
"""Just Fine""",Mary J. Blige,not found,not found
"""Piece of Me""",Britney Spears,not found,not found
"""The Boss""",Rick Ross featuring T-Pain,not found,not found
"""All Summer Long""",Kid Rock,"(1, 0, 4)","(-5, -5, -2)"
"""Can't Help but Wait""",Trey Songz,"(3, 1, 6)","(-3, -5, -4)"
"""In Love with a Girl""",Gavin DeGraw,"(1, 3, 4)","(5, -4, -5, 4)"
"""My Life""",The Game featuring Lil Wayne,not found,not found
"""I Remember""",Keyshia Cole,"(0, 0, 0, 0)","(-3, -4, -3, -2)"
"""Flashing Lights""",Kanye West featuring Dwele,"(4, 4, 4, 4, 1, 6, 1, 6)","(0, 0, 0, -5, -4, 4, -4, -3)"
"""Mrs. Officer""",Lil Wayne featuring Bobby Valentino and Kidd Kidd,not found,not found
"""7 Things""",Miley Cyrus,"(1, 1, 6, 5)","(0, -3, -2, -2)"
"""You're Gonna Miss This""",Trace Adkins,not found,not found
"""Love Remains the Same""",Gavin Rossdale,"(4, 1, 5, 2)","(-5, -5, 3, -5)"
"""Feels Like Tonight""",Daughtry,"(1, 1, 4)","(-5, -5, 2, -4)"
"""The Way I Are""",Timbaland featuring Keri Hilson,"(1, 7)","(-2, 2)"
"""Addicted""",Saving Abel,"(3, 2, 6, 5, 6)","(2, -5, -2, -5, -2)"
"""Into the Night""",Santana featuring Chad Kroeger,not found,not found
"""Heaven Sent""",Keyshia Cole,"(7, 2, 3, 1, 7, 2, 3, 7, 1)","(-1, 3, 2, -4, -1, 3, 2, -5, 1)"
"""She Got It""",2 Pistols featuring T-Pain and Tay Dizm,not found,not found
