Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Sure Be Cool If You Did""",Blake Shelton,not found,not found
"""#Beautiful""",Mariah Carey featuring Miguel,not found,not found
"""Troublemaker""",Olly Murs featuring Flo Rida,"(3, 1, 7, 3)","(5, 0, -4, -1)"
"""Body Party""",Ciara,"(1, 7, 3, 2, 5)","(5, -2, 5, 5, -1)"
"""Adorn""",Miguel,"(1, 2, 3)","(2, 2, -4)"
"""Hall of Fame""",The Script featuring will.i.am,"(3, 7, 1, 6)","(-5, 2, -4, -5)"
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,not found,not found
"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross,not found,not found
"""Next to Me""",Emeli Sandé,not found,not found
"""Mama's Broken Heart""",Miranda Lambert,"(1, 5)","(-5, 5)"
"""It Goes Like This""",Thomas Rhett,"(6, 1)","(-4, 4)"
"""Bugatti""",Ace Hood featuring Future and Rick Ross,not found,not found
"""Wanted""",Hunter Hayes,"(1, 5, 4)","(-5, -2, -5, -5)"
"""Downtown""",Lady Antebellum,"(4, 1)","(5, 0, -5, 5)"
"""Get Your Shine On""",Florida Georgia Line,not found,not found
"""#thatPower""",will.i.am featuring Justin Bieber,not found,not found
"""Brave""",Sara Bareilles,"(4, 5, 1, 6)","(5, -3, -4, 2)"
"""Let Her Go""",Passenger,"(0, 4, 1, 2)","(-5, -5, 2, -4)"
"""Runnin' Outta Moonlight""",Randy Houser,"(1, 5, 3, 2)","(-2, -2, -5, -3)"
"""I'm Different""",2 Chainz,not found,not found
"""Still Into You""",Paramore,"(1, 4, 5)","(5, 2, 5)"
